0.0,0.0,0.0,25,461,*,372
1.0,1.0,1.0,461,408,*,461,408
0.0,0.0,0.33333333333333326,266,147,*,147,372
0.5,0.5,0.33333333333333326,408,449,*,408,372
0.5,0.5,0.33333333333333326,266,147,*,266,372
1.0,1.0,1.0,461,408,*,461,408
0.0,0.0,0.0,25,461,*,372
1.0,1.0,1.0,461,408,*,461,408
1.0,1.0,1.0,461,408,*,461,408
0.0,0.0,0.0,25,461,*,372
1.0,1.0,1.0,461,408,*,461,408
0.0,0.0,0.0,25,461,*,372
0.0,0.0,0.0,25,461,*,372
0.5,0.5,0.33333333333333326,451,353,*,451,325
0.0,0.0,0.0,25,461,*,372
0.0,0.0,0.0,25,461,*,372
0.0,0.0,0.0,25,461,*,372
0.0,0.0,0.0,25,461,*,372
0.0,0.0,0.0,266,147,*,372,8
0.0,0.0,0.0,147,25,*,372
0.0,0.0,0.0,25,461,*,372
1.0,1.0,1.0,461,408,*,461,408
0.0,0.0,0.0,25,461,*,372
0.0,0.0,0.0,147,25,*,372
0.0,0.0,0.33333333333333326,262,325,*,325,402
0.5,0.5,0.33333333333333326,266,147,*,266,372
0.0,0.0,0.0,25,461,*,372
0.0,0.0,0.0,25,461,*,372
0.0,0.0,0.33333333333333326,66,266,*,266,17
1.0,1.0,1.0,461,408,*,461,408
0.0,0.0,0.0,147,25,*,372
0.5,0.5,0.33333333333333326,408,449,*,408,372
0.0,0.0,0.0,511,266,*,372,375
0.0,0.0,0.0,25,461,*,372
0.0,0.0,0.0,511,266,*,372,375
0.0,0.0,0.0,471,375,*,22
1.0,1.0,1.0,461,408,*,461,408
0.0,0.0,0.0,147,25,*,372
0.0,0.0,0.0,25,461,*,372
0.0,0.0,0.0,375,22,*,137,8
1.0,1.0,1.0,461,408,*,461,408
1.0,1.0,1.0,461,408,*,461,408
0.5,0.5,0.33333333333333326,266,147,*,266,372
0.5,0.5,0.33333333333333326,408,449,*,408,372
0.5,0.5,0.33333333333333326,451,17,*,451,353
1.0,1.0,1.0,461,408,*,461,408
1.0,1.0,1.0,461,408,*,461,408
0.5,0.5,0.33333333333333326,266,147,*,266,372
0.0,0.0,0.0,147,25,*,372
1.0,1.0,1.0,461,408,*,461,408
1.0,1.0,1.0,461,408,*,461,408
1.0,1.0,1.0,461,408,*,461,408
1.0,1.0,1.0,511,266,*,511,266
1.0,1.0,1.0,461,408,*,461,408
1.0,1.0,1.0,461,408,*,461,408
0.0,0.0,0.0,147,25,*,372
1.0,1.0,1.0,461,408,*,461,408
1.0,1.0,1.0,461,408,*,461,408
0.0,0.0,0.0,25,461,*,372
0.5,0.5,0.33333333333333326,266,147,*,266,372
1.0,1.0,1.0,461,408,*,461,408
0.0,0.0,0.0,147,25,*,372
1.0,1.0,1.0,191,97,*,191,97
0.0,0.0,0.33333333333333326,25,462,*,462,407
0.5,0.5,0.33333333333333326,266,147,*,266,372
1.0,1.0,1.0,461,408,*,461,408
1.0,1.0,1.0,461,408,*,461,408
0.5,0.5,0.33333333333333326,266,147,*,266,17
1.0,1.0,1.0,25,461,*,25,461
0.0,0.0,0.0,25,461,*,372
0.0,0.0,0.0,147,25,*,372
1.0,1.0,1.0,461,408,*,461,408
1.0,1.0,1.0,461,408,*,461,408
0.0,0.0,0.0,25,461,*,372
0.0,0.0,0.0,147,25,*,372
0.0,0.0,0.0,25,461,*,372
0.0,0.0,0.0,25,461,*,372
0.0,0.0,0.0,485,353,*,372,471
1.0,1.0,1.0,461,408,*,461,408
0.0,0.0,0.0,147,25,*,372
0.0,0.0,0.33333333333333326,26,106,*,106,372
0.0,0.0,0.0,25,461,*,372
0.0,0.0,0.0,25,461,*,372
