0.0,0.0,0.0,25,*,372
1.0,1.0,1.0,461,*,461
1.0,1.0,1.0,266,*,266
1.0,1.0,1.0,408,*,408
1.0,1.0,1.0,461,*,461
0.0,0.0,0.0,25,*,372
1.0,1.0,1.0,461,*,461
1.0,1.0,1.0,461,*,461
0.0,0.0,0.0,25,*,372
1.0,1.0,1.0,461,*,461
0.0,0.0,0.0,25,*,372
0.0,0.0,0.0,25,*,372
0.0,0.0,0.0,25,*,372
0.0,0.0,0.0,25,*,372
0.0,0.0,0.0,25,*,372
0.0,0.0,0.0,25,*,372
0.0,0.0,0.0,147,*,372
0.0,0.0,0.0,25,*,372
1.0,1.0,1.0,461,*,461
0.0,0.0,0.0,25,*,372
0.0,0.0,0.0,147,*,372
1.0,1.0,1.0,266,*,266
0.0,0.0,0.0,25,*,372
0.0,0.0,0.0,25,*,372
1.0,1.0,1.0,461,*,461
0.0,0.0,0.0,147,*,372
1.0,1.0,1.0,408,*,408
0.0,0.0,0.0,25,*,372
1.0,1.0,1.0,461,*,461
0.0,0.0,0.0,147,*,372
0.0,0.0,0.0,25,*,372
1.0,1.0,1.0,461,*,461
0.0,0.0,0.0,461,*,462
0.0,0.0,0.0,471,*,375
1.0,1.0,1.0,266,*,266
1.0,1.0,1.0,408,*,408
1.0,1.0,1.0,461,*,461
1.0,1.0,1.0,461,*,461
0.0,0.0,0.0,266,*,147
0.0,0.0,0.0,147,*,372
1.0,1.0,1.0,461,*,461
1.0,1.0,1.0,461,*,461
0.0,0.0,0.0,461,*,133
1.0,1.0,1.0,461,*,461
1.0,1.0,1.0,461,*,461
0.0,0.0,0.0,147,*,372
1.0,1.0,1.0,461,*,461
1.0,1.0,1.0,461,*,461
0.0,0.0,0.0,25,*,372
1.0,1.0,1.0,266,*,266
1.0,1.0,1.0,461,*,461
0.0,0.0,0.0,147,*,372
0.0,0.0,0.0,25,*,372
1.0,1.0,1.0,266,*,266
1.0,1.0,1.0,461,*,461
1.0,1.0,1.0,461,*,461
1.0,1.0,1.0,25,*,25
0.0,0.0,0.0,25,*,372
0.0,0.0,0.0,147,*,372
1.0,1.0,1.0,461,*,461
1.0,1.0,1.0,461,*,461
0.0,0.0,0.0,25,*,372
0.0,0.0,0.0,147,*,372
0.0,0.0,0.0,25,*,372
0.0,0.0,0.0,25,*,372
1.0,1.0,1.0,461,*,461
0.0,0.0,0.0,147,*,372
0.0,0.0,0.0,25,*,372
0.0,0.0,0.0,25,*,372
