0.0,0.0,0.0,14,*,194
0.0,0.0,0.0,14,*,140
0.0,0.0,0.0,14,*,192
1.0,1.0,1.0,175,*,175
0.0,0.0,0.0,194,*,79
0.0,0.0,0.0,14,*,192
1.0,1.0,1.0,14,*,14
0.0,0.0,0.0,194,*,79
0.0,0.0,0.0,194,*,58
0.0,0.0,0.0,14,*,114
0.0,0.0,0.0,14,*,205
0.0,0.0,0.0,14,*,226
0.0,0.0,0.0,14,*,38
0.0,0.0,0.0,194,*,168
0.0,0.0,0.0,246,*,192
0.0,0.0,0.0,14,*,140
0.0,0.0,0.0,14,*,205
0.0,0.0,0.0,14,*,175
0.0,0.0,0.0,14,*,192
0.0,0.0,0.0,17,*,58
0.0,0.0,0.0,194,*,79
0.0,0.0,0.0,194,*,79
0.0,0.0,0.0,14,*,38
0.0,0.0,0.0,14,*,38
0.0,0.0,0.0,14,*,114
0.0,0.0,0.0,194,*,140
0.0,0.0,0.0,194,*,144
0.0,0.0,0.0,247,*,175
0.0,0.0,0.0,194,*,144
