0.25,0.25,0.19999999999999996,14,239,114,175,226,140,60,58,*,14,239,234,205
0.25,0.25,0.19999999999999996,14,239,144,175,226,140,60,257,*,14,239,234,205
0.25,0.25,0.19999999999999996,14,239,114,144,175,226,140,257,*,14,239,234,205
0.25,0.25,0.33333333333333326,175,226,140,60,58,17,57,205,*,175,226,205,207
0.375,0.375,0.2727272727272727,194,14,239,114,175,226,140,60,*,194,14,239,234,205,207
0.25,0.25,0.19999999999999996,14,239,144,175,226,140,257,58,*,14,239,234,205
0.25,0.25,0.19999999999999996,14,239,175,226,140,60,58,17,*,14,239,234,205
0.375,0.375,0.2727272727272727,194,14,239,114,175,226,140,60,*,194,14,239,234,205,207
0.375,0.375,0.2727272727272727,194,14,239,175,226,140,60,58,*,194,14,239,234,205,207
0.25,0.25,0.19999999999999996,14,239,144,175,226,140,257,58,*,14,239,234,205
0.25,0.25,0.19999999999999996,14,239,114,175,226,140,60,58,*,14,239,234,205
0.25,0.25,0.19999999999999996,14,239,175,226,140,60,58,17,*,14,239,234,205
0.25,0.25,0.19999999999999996,14,239,114,144,175,226,140,257,*,14,239,234,205
0.25,0.25,0.19999999999999996,14,239,175,226,140,59,15,117,*,14,239,234,205
0.375,0.375,0.2727272727272727,194,14,239,175,226,140,257,58,*,194,14,239,234,205,207
0.25,0.25,0.19999999999999996,14,239,144,175,226,140,257,58,*,14,239,234,205
0.25,0.25,0.19999999999999996,14,239,175,226,140,60,58,17,*,14,239,234,205
0.25,0.25,0.19999999999999996,14,239,114,175,226,140,60,58,*,14,239,234,205
0.25,0.25,0.19999999999999996,14,239,144,175,226,140,257,58,*,14,239,234,205
0.25,0.25,0.2222222222222222,226,140,60,58,17,57,205,263,*,226,205,207
0.375,0.375,0.2727272727272727,194,14,239,175,226,140,60,58,*,194,14,239,234,205,207
0.375,0.375,0.2727272727272727,194,14,239,175,226,140,58,17,*,194,14,239,234,205,207
0.25,0.25,0.19999999999999996,14,239,144,175,226,140,257,58,*,14,239,234,205
0.25,0.25,0.19999999999999996,14,239,175,226,140,60,58,17,*,14,239,234,205
0.25,0.25,0.33333333333333326,14,239,175,226,140,58,17,234,*,14,239,234,205
0.375,0.375,0.2727272727272727,194,14,239,114,144,175,226,140,*,194,14,239,234,205,207
0.375,0.375,0.2727272727272727,194,14,239,114,144,175,226,140,*,194,14,239,234,205,207
0.5,0.5,0.33333333333333326,247,194,14,239,144,175,226,140,*,247,194,14,239,82,234,205,207
0.375,0.375,0.2727272727272727,194,14,239,114,175,226,140,275,*,194,14,239,234,205,207
0.875,0.875,0.7777777777777778,247,194,14,239,175,226,140,60,*,247,194,14,239,144,226,140,60
