0.25,0.25,0.19999999999999996,252,229,246,247,*,252,205
0.25,0.25,0.19999999999999996,252,229,246,247,*,252,205
0.25,0.25,0.19999999999999996,252,229,246,247,*,252,205
0.25,0.25,0.1428571428571428,229,246,247,194,*,229,114,175,226
0.25,0.25,0.33333333333333326,19,252,229,246,*,252,229,205,207
0.25,0.25,0.19999999999999996,252,229,246,247,*,252,205
0.25,0.25,0.19999999999999996,252,229,246,247,*,252,205
0.25,0.25,0.33333333333333326,19,252,229,246,*,252,229,205,207
0.25,0.25,0.33333333333333326,19,252,229,246,*,252,229,205,207
0.25,0.25,0.19999999999999996,252,229,246,247,*,252,205
0.25,0.25,0.19999999999999996,252,229,246,247,*,252,205
0.25,0.25,0.19999999999999996,252,229,246,247,*,252,205
0.25,0.25,0.19999999999999996,252,229,246,247,*,252,205
0.25,0.25,0.19999999999999996,252,229,246,247,*,252,205
0.25,0.25,0.33333333333333326,19,252,229,246,*,252,229,205,207
0.25,0.25,0.19999999999999996,252,229,246,247,*,252,205
0.25,0.25,0.19999999999999996,252,229,246,247,*,252,205
0.25,0.25,0.19999999999999996,252,229,246,247,*,252,205
0.25,0.25,0.19999999999999996,252,229,246,247,*,252,205
0.25,0.25,0.1428571428571428,229,246,247,194,*,229,114,175,226
0.25,0.25,0.33333333333333326,19,252,229,246,*,252,229,205,207
0.25,0.25,0.33333333333333326,19,252,229,246,*,252,229,205,207
0.25,0.25,0.19999999999999996,252,229,246,247,*,252,205
0.25,0.25,0.19999999999999996,252,229,246,247,*,252,205
0.25,0.25,0.19999999999999996,252,229,246,247,*,252,205
0.25,0.25,0.33333333333333326,19,252,229,246,*,252,229,205,207
0.25,0.25,0.33333333333333326,19,252,229,246,*,252,229,205,207
0.0,0.0,0.0,81,19,252,229,*,205,207
0.25,0.25,0.33333333333333326,19,252,229,246,*,252,229,205,207
0.25,0.25,0.1428571428571428,81,19,252,229,*,81,168,205,134
