0.0,0.0,0.0,27,165,179,36,*,180,181,185
0.0,0.0,0.0,362,177,189,29,*,57,36,30,35
0.0,0.0,0.1428571428571428,28,165,179,33,*,38,28,35,245
0.0,0.0,0.1428571428571428,29,32,205,36,*,32,180,181,183
0.0,0.0,0.0,36,40,29,32,*,24,189,177,39
0.0,0.0,0.0,27,165,179,33,*,25,71,25,29
0.0,0.0,0.0,29,32,36,35,*,135,116,241,255
0.0,0.0,0.0,210,26,362,177,*,189,180,30,28
0.0,0.0,0.0,27,28,165,179,*,245,208,209,32
0.0,0.0,0.0,179,34,41,25,*,31,227,74,227
0.0,0.0,0.0,29,32,36,40,*,224,25,139,134
0.0,0.0,0.0,191,196,195,200,*,216,48,74,244
0.0,0.0,0.0,29,245,248,40,*,224,209,213,212
0.0,0.0,0.0,40,29,32,35,*,44,143,57,144
0.0,0.0,0.0,27,165,179,33,*,42,108,295,107
0.0,0.0,0.1428571428571428,28,29,32,35,*,191,35,46,73
0.0,0.0,0.0,29,32,179,180,*,44,202,44,40
0.0,0.0,0.1428571428571428,189,27,25,29,*,40,205,27,362
0.0,0.0,0.0,34,41,27,33,*,165,179,36,188
0.0,0.0,0.0,154,29,32,179,*,74,35,61,72
0.25,0.25,0.1428571428571428,28,165,179,33,*,28,21,19,160
0.0,0.0,0.1428571428571428,27,165,179,33,*,45,33,113,115
0.0,0.0,0.0,165,179,33,34,*,44,47,31,44
0.0,0.0,0.0,36,35,30,40,*,180,181,185,187
0.0,0.0,0.0,165,179,33,35,*,66,73,107,283
0.0,0.0,0.0,23,27,25,33,*,36,210,209,219
0.0,0.0,0.1428571428571428,34,33,42,27,*,25,165,27,32
0.0,0.0,0.0,40,320,82,26,*,224,85,84,112
0.0,0.0,0.1428571428571428,34,41,27,33,*,35,27,248,59
0.0,0.0,0.0,28,165,179,33,*,135,139,112,131
0.0,0.0,0.0,28,165,179,33,*,183,184,35,44
0.0,0.0,0.0,27,165,179,33,*,135,114,74,83
0.0,0.0,0.0,34,33,27,25,*,28,24
0.0,0.0,0.0,28,27,165,179,*,29,57,82,36
0.0,0.0,0.0,28,165,179,33,*,40,48,30,40
0.0,0.0,0.0,29,32,36,40,*,48,30,283,290
0.0,0.0,0.0,165,179,33,34,*,57,57,48,282
0.0,0.0,0.1428571428571428,29,40,36,32,*,35,36,177,85
0.0,0.0,0.0,27,165,179,33,*,26,189,85,189
0.0,0.0,0.0,191,196,198,36,*,177,31,247,255
0.0,0.0,0.0,28,179,165,33,*,135,115,300,301
0.0,0.0,0.0,32,179,180,181,*,191,194,193
0.0,0.0,0.0,27,165,179,35,*,46,53,229,230
0.0,0.0,0.1428571428571428,180,181,184,34,*,34,36,82,26
0.0,0.0,0.0,34,41,33,42,*,28,189,217,218
0.0,0.0,0.0,28,165,179,35,*,82,44,31,54
0.0,0.0,0.0,28,165,179,33,*,202,44,74,75
0.0,0.0,0.0,29,32,36,35,*,44,71,202,27
0.0,0.0,0.0,34,27,42,33,*,36,362,36,39
0.0,0.0,0.0,28,165,179,36,*,42,223,211,202
0.0,0.0,0.0,36,245,248,40,*,44,362,227,31
0.0,0.0,0.0,28,165,179,33,*,66,67,146,48
0.0,0.0,0.0,29,32,36,40,*,66,242,44,177
0.0,0.0,0.0,36,40,135,115,*,189,53
0.0,0.0,0.0,165,179,33,34,*,57,44,74,83
0.0,0.0,0.0,27,165,179,33,*,40,29,57,48
0.25,0.25,0.1428571428571428,34,41,27,33,*,35,41,25,71
0.0,0.0,0.0,27,165,179,35,*,39,278,202,146
0.0,0.0,0.0,28,165,179,33,*,36,189,196,32
0.0,0.0,0.0,27,28,165,179,*,40,135,120,84
0.0,0.0,0.0,28,29,32,36,*,42,177,49,225
0.0,0.0,0.0,189,27,28,29,*,30,244,247,259
0.0,0.0,0.1428571428571428,362,27,28,29,*,28,115,40,31
0.0,0.0,0.0,29,32,36,40,*,154,1,162,193
0.0,0.0,0.0,26,27,82,29,*,53,189,48,244
0.0,0.0,0.0,28,165,179,33,*,35,209,36,38
0.25,0.25,0.19999999999999996,29,32,36,115,*,36,187
0.0,0.0,0.1428571428571428,27,28,165,179,*,165,41,244,247
0.0,0.0,0.1428571428571428,28,165,179,33,*,165,30,274,48
0.0,0.0,0.0,26,27,28,165,*,139,119,42,227
0.0,0.0,0.0,27,165,179,36,*,241,119,122
0.0,0.0,0.0,28,165,179,36,*,44,71,74,278
0.0,0.0,0.1428571428571428,27,165,179,36,*,36,24,26,40
0.0,0.0,0.0,27,165,179,36,*,21
0.0,0.0,0.0,27,165,179,33,*,362,53,363,366
0.0,0.0,0.1428571428571428,28,165,179,33,*,29,245,26,28
0.0,0.0,0.0,57,36,27,29,*,32,35,189,362
