0.0,0.0,0.0,53,282,61,66,71,74,*,154,21,115,85,93,30
0.0,0.0,0.0,207,209,218,44,227,48,*,208,112,314
0.0,0.0,0.0,53,241,242,245,244,246,*,131,115,36,188,34,33
0.0,0.0,0.0,217,218,57,40,245,30,*,274
0.0,0.0,0.0,44,48,53,66,67,67,*,177,26,25,202,55,242
0.0,0.0,0.0,53,241,61,64,66,72,*,227,247,49,225
0.0,0.0,0.0,53,55,61,66,379,71,*,195,197
0.16666666666666663,0.16666666666666663,0.33333333333333326,47,53,241,61,64,66,*,241,255,61,134,31,66
0.0,0.0,0.0,241,66,78,278,85,92,*,177,27,74,244,242,243
0.0,0.0,0.0,40,44,48,53,66,67,*,225,189,64
0.0,0.0,0.09090909090909094,66,242,244,247,274,49,*,41,45,30,53,282,66
0.0,0.0,0.0,40,48,53,66,67,67,*,51,47,39,189,217
0.0,0.0,0.19999999999999996,44,48,53,55,66,61,*,53,363,66,379,74,239
0.16666666666666663,0.16666666666666663,0.09090909090909094,44,48,53,55,61,66,*,227,85,93,95,61,28
0.0,0.0,0.0,242,243,246,244,245,247,*,119,42,337,336,83,54
0.16666666666666663,0.16666666666666663,0.19999999999999996,245,246,202,203,207,208,*,242,246,260,264,267,202
0.0,0.0,0.0,53,241,61,64,66,72,*,31,44,51,47,46,268
0.0,0.0,0.09090909090909094,208,209,210,212,215,178,*,222,208,207,213,220,60
0.0,0.0,0.0,53,56,66,67,75,71,*,244,42,165,41,318
0.16666666666666663,0.16666666666666663,0.125,244,246,245,247,248,249,*,247,189,380
0.16666666666666663,0.16666666666666663,0.09090909090909094,66,75,78,61,48,71,*,66,255,241,119,83,112
0.0,0.0,0.0,178,208,222,223,221,211,*,82,146,191,36,28,224
0.0,0.0,0.0,46,47,53,241,61,64,*,73,135,115,138,160,268
0.0,0.0,0.0,53,241,61,64,66,72,*,113,119,135,299,115,57
0.0,0.0,0.0,61,64,66,73,72,78,*,242,247,224,85
0.0,0.0,0.0,242,243,244,246,245,247,*,189,44,47,241,41,42
0.0,0.0,0.0,241,242,244,330,246,325,*,44,49,30,40,35,30
0.16666666666666663,0.16666666666666663,0.09090909090909094,160,21,39,53,241,64,*,9,21,30,44,244,71
