1,1,1,1,14,25,5,1,*,14,25,5,1,108
0.75,0.75,0.6,0.75,14,6,5,1,*,14,25,5,1,120
1,1,1,1,14,25,5,1,*,14,25,5,1,122
0.25,0.25,0.4,0.25,5,1,5,20,*,14,25,5,1,138
0,0,0.142857,0,17,22,14,6,*,14,25,5,1,142
0.25,0.25,0.333333,0,22,14,6,5,*,14,25,5,1,145
0,0,0.333333,0,5,8,1,23,*,14,25,5,1,152
0.25,0.25,0.333333,0,22,14,6,5,*,14,25,5,1,155
0,0,0.6,0,17,22,14,6,*,23,14,17,22,164
0.5,0.5,0.6,0,22,14,25,5,*,14,25,5,1,167
0.25,0.25,0.333333,0,22,14,6,5,*,14,25,5,1,176
0,0,0.142857,0,22,14,13,17,*,14,25,5,1,195
0,0,0.6,0,25,1,23,5,*,14,25,5,1,197
0.25,0.25,0.333333,0.25,14,6,25,17,*,14,25,5,1,200
0,0,0.333333,0,1,5,20,26,*,14,25,5,1,209
0.75,0.75,0.6,0.75,14,6,5,1,*,14,25,5,1,215
0.5,0.5,0.6,0.25,14,5,1,23,*,14,25,5,1,218
0.5,0.5,0.6,0,22,14,25,5,*,14,25,5,1,219
0,0,0.333333,0,17,22,14,5,*,14,25,5,1,22
0,0,0.333333,0,17,22,14,25,*,14,25,5,1,221
0.25,0.25,0.333333,0,6,5,1,23,*,14,25,5,1,3
0,0,0.142857,0,17,22,4,14,*,14,25,5,1,35
0,0,0.142857,0,17,22,14,6,*,14,25,5,1,37
0.5,0.5,0.6,0.25,14,6,25,5,*,14,25,5,1,41
0.25,0.25,0.333333,0,6,5,1,23,*,14,25,5,1,43
0,0,0.333333,0,17,22,14,5,*,14,25,5,1,44
1,1,1,1,14,25,5,1,*,14,25,5,1,47
1,1,1,1,14,25,5,1,*,14,25,5,1,58
0.75,0.75,0.6,0.75,14,6,5,1,*,14,25,5,1,72
1,1,1,1,14,25,5,1,*,14,25,5,1,74
0,0,0.333333,0,1,5,3,20,*,14,25,5,1,75
0.5,0.5,0.6,0,25,5,1,23,*,14,25,5,1,9
0,0,0.142857,0,1,20,26,13,*,14,25,5,1,94
0.25,0.25,0.333333,0,6,5,1,23,*,14,25,5,1,97
