1,1,1,1,14,25,5,*,14,25,5,110
0,0,0.2,0,6,5,1,*,14,25,5,111
0,0,0.2,0,22,14,6,*,14,25,5,118
1,1,1,1,14,25,5,*,14,25,5,122
0,0,0.2,0,6,5,1,*,14,25,5,132
0.333333,0.333333,0.25,0.333333,5,1,5,*,14,25,5,138
0,0,0.2,0,22,14,6,*,14,25,5,141
0.666667,0.666667,0.5,0.666667,14,6,5,*,14,25,5,146
0,0,0,0,11,17,22,*,14,25,5,153
0.333333,0.333333,0.5,0.333333,14,6,25,*,14,25,5,16
0.333333,0.333333,0.5,0.333333,14,5,1,*,14,25,5,161
0.333333,0.333333,0.5,0.333333,14,5,1,*,14,25,5,18
0.333333,0.333333,0.5,0,22,14,25,*,14,25,5,181
0.333333,0.333333,0.5,0,22,14,25,*,14,25,5,182
0.333333,0.333333,0.5,0,22,14,25,*,14,25,5,189
0.333333,0.333333,0.5,0.333333,14,6,25,*,14,25,5,200
0.666667,0.666667,0.5,0.666667,14,6,5,*,14,25,5,204
0.333333,0.333333,0.2,0.333333,14,17,22,*,14,25,5,207
0,0,0.2,0,1,5,20,*,14,25,5,209
0.666667,0.666667,0.5,0.666667,14,6,5,*,14,25,5,213
0,0,0.2,0,17,22,14,*,14,25,5,221
0,0,0.2,0,6,5,1,*,14,25,5,3
0.333333,0.333333,0.5,0,22,14,25,*,14,25,5,34
0,0,0.25,0,1,1,23,*,23,17,22,4
0.333333,0.333333,0.5,0.333333,14,6,25,*,14,25,5,41
0,0,0.2,0,6,5,1,*,14,25,5,48
0,0,0.2,0,6,5,1,*,14,25,5,50
0,0,0.2,0,5,20,13,*,14,25,5,66
0.666667,0.666667,0.5,0.666667,6,25,5,*,14,25,5,70
0,0,0.2,0,6,5,1,*,14,25,5,77
0,0,0.2,0,17,22,14,*,14,25,5,84
0.333333,0.333333,0.5,0,22,14,25,*,14,25,5,98
