0,0,0.2,0,37,2,9,*,2,15,47,110
1,1,1,1,2,46,40,*,2,46,40,124
1,1,1,1,2,46,40,*,2,46,40,131
1,1,1,1,2,46,40,*,2,46,40,135
1,1,1,1,2,46,40,*,2,46,40,145
1,1,1,1,51,26,14,*,51,26,14,15
0.333333,0.333333,0.333333,0.333333,37,37,2,*,6,37,37,184
0.333333,0.333333,0.25,0.333333,37,2,37,*,6,10,37,191
0.333333,0.333333,0.5,0,46,40,44,*,2,46,40,195
0.333333,0.333333,0.5,0,14,2,46,*,26,14,2,199
1,1,1,1,2,46,40,*,2,46,40,21
1,1,1,1,2,46,40,*,2,46,40,214
1,1,1,1,26,14,2,*,26,14,2,248
1,1,1,1,2,46,40,*,2,46,40,249
1,1,1,1,2,46,40,*,2,46,40,25
0.333333,0.333333,0.333333,0.333333,46,37,37,*,37,37,47,257
0,0,0,0,55,44,45,*,19,26,32,279
0,0,0,0,32,40,37,*,1,43,42,291
1,1,1,1,26,14,2,*,26,14,2,324
1,1,1,1,6,6,6,*,6,6,6,357
1,1,1,1,26,14,2,*,26,14,2,359
0.333333,0.333333,0.5,0,14,2,46,*,2,46,40,36
1,1,1,1,51,26,14,*,51,26,14,368
1,1,1,1,2,46,40,*,2,46,40,37
1,1,1,1,2,46,40,*,2,46,40,373
0,0,0,0,14,32,51,*,1,1,43,374
1,1,1,1,2,46,40,*,2,46,40,380
1,1,1,1,2,46,40,*,2,46,40,382
0.333333,0.333333,0.25,0.333333,19,,19,*,19,11,53,388
0,0,0,0,1,43,11,*,44,45,19,397
0.333333,0.333333,0.5,0,51,26,14,*,25,51,26,401
0,0,0,0,26,1,43,*,23,54,18,404
1,1,1,1,2,46,40,*,2,46,40,417
0,0,0,0,37,2,37,*,6,17,18,451
0.333333,0.333333,0.5,0,46,40,44,*,2,46,40,469
1,1,1,1,2,46,40,*,2,46,40,482
0.333333,0.333333,0.5,0.333333,45,35,32,*,45,32,40,483
0.333333,0.333333,0.5,0,14,2,46,*,2,46,40,493
0.666667,0.666667,0.333333,0.666667,6,6,37,*,6,6,27,499
1,1,1,1,51,26,14,*,51,26,14,500
0,0,0,0,6,43,27,*,8,25,51,502
0.333333,0.333333,0.5,0,46,40,44,*,2,46,40,516
1,1,1,1,2,46,40,*,2,46,40,518
1,1,1,1,25,51,26,*,25,51,26,530
1,1,1,1,2,10,46,*,2,10,46,534
0.333333,0.333333,0.5,0,14,2,46,*,2,46,40,537
0.333333,0.333333,0.5,0,14,2,46,*,2,46,40,55
1,1,1,1,2,46,40,*,2,46,40,554
0,0,0,0,10,37,37,*,32,40,24,556
0.333333,0.333333,0.5,0,46,40,44,*,2,46,40,566
1,1,1,1,2,46,40,*,2,46,40,579
0.333333,0.333333,0.5,0,46,40,44,*,2,46,40,587
1,1,1,1,2,46,40,*,2,46,40,59
0.333333,0.333333,0.5,0,46,40,44,*,2,46,40,591
0.333333,0.333333,0.5,0,46,40,44,*,2,46,40,598
0.333333,0.333333,0.5,0,46,40,44,*,2,46,40,600
0.333333,0.333333,0.5,0,40,44,45,*,44,45,35,614
0.333333,0.333333,0.5,0,46,40,44,*,2,46,40,619
0.333333,0.333333,0.5,0,46,40,44,*,2,46,40,620
0.333333,0.333333,0.5,0,46,40,44,*,2,46,40,626
0.333333,0.333333,0.5,0,14,2,46,*,2,46,40,633
0.333333,0.333333,0.5,0,40,44,45,*,46,40,44,666
0.333333,0.333333,0.5,0,46,40,44,*,2,46,40,667
0.333333,0.333333,0.5,0,14,2,46,*,2,46,40,674
0.333333,0.333333,0.5,0,14,2,46,*,2,46,40,686
0.333333,0.333333,0.5,0,51,26,14,*,26,14,2,693
0.333333,0.333333,0.5,0,46,40,44,*,2,46,40,696
1,1,1,1,2,46,40,*,2,46,40,699
0.333333,0.333333,0.5,0,46,40,44,*,2,46,40,708
0.333333,0.333333,0.5,0,46,40,44,*,2,46,40,714
0.333333,0.333333,0.5,0,46,40,44,*,2,46,40,740
0.333333,0.333333,0.5,0,46,40,44,*,2,46,40,742
1,1,1,1,2,46,40,*,2,46,40,743
1,1,1,1,26,14,2,*,26,14,2,76
0.333333,0.333333,0.5,0,46,40,44,*,2,46,40,771
0.333333,0.333333,0.5,0,46,40,44,*,2,46,40,774
0.333333,0.333333,0.5,0,48,44,45,*,44,45,35,779
1,1,1,1,2,46,40,*,2,46,40,785
0.333333,0.333333,0.5,0,46,40,44,*,2,46,40,790
0.333333,0.333333,0.5,0,46,40,44,*,2,46,40,808
0.333333,0.333333,0.5,0,46,40,44,*,2,46,40,818
0.333333,0.333333,0.5,0,46,40,44,*,2,46,40,821
0.333333,0.333333,0.5,0,51,26,14,*,26,14,2,826
1,1,1,1,26,14,2,*,26,14,2,827
0.333333,0.333333,0.5,0,46,40,44,*,2,46,40,833
1,1,1,1,2,46,40,*,2,46,40,838
0.333333,0.333333,0.5,0,14,2,46,*,2,46,40,852
0.333333,0.333333,0.5,0,46,40,44,*,2,46,40,857
0.333333,0.333333,0.5,0,46,40,44,*,2,46,40,863
0.333333,0.333333,0.5,0,46,40,44,*,2,46,40,864
0.333333,0.333333,0.5,0,14,2,46,*,2,46,40,877
1,1,1,1,2,46,40,*,2,46,40,888
0,0,0,0,6,6,6,*,,37,37,891
0.333333,0.333333,0.5,0,46,40,44,*,2,46,40,897
1,1,1,1,25,51,26,*,25,51,26,901
0.333333,0.333333,0.5,0,46,40,44,*,2,46,40,915
0.333333,0.333333,0.5,0,14,2,46,*,2,46,40,97
