1,1,1,1,8,25,51,26,14,2,46,*,8,25,51,26,14,2,46,108
0.714286,0.714286,0.833333,0.142857,2,6,11,10,37,37,2,*,6,11,10,37,37,2,15,110
1,1,1,1,8,25,51,26,14,2,46,*,8,25,51,26,14,2,46,124
0.571429,0.571429,0.5,0.142857,55,32,40,10,37,37,2,*,44,45,32,40,10,37,37,126
1,1,1,1,8,25,51,26,14,2,46,*,8,25,51,26,14,2,46,176
1,1,1,1,8,25,51,26,14,2,46,*,8,25,51,26,14,2,46,214
0.714286,0.714286,0.75,0.428571,8,25,51,14,2,46,40,*,8,25,51,26,14,2,46,237
1,1,1,1,14,40,2,46,40,44,45,*,14,40,2,46,40,44,45,239
0,0,0.166667,0,6,50,8,25,51,26,14,*,26,14,46,44,45,35,32,248
1,1,1,1,8,25,51,26,14,2,46,*,8,25,51,26,14,2,46,25
1,1,1,1,8,25,51,26,14,2,46,*,8,25,51,26,14,2,46,292
0.428571,0.428571,0.5,0.285714,19,40,32,10,37,37,2,*,44,45,32,40,10,37,37,299
1,1,1,1,8,25,51,26,14,2,46,*,8,25,51,26,14,2,46,329
1,1,1,1,8,25,51,26,14,2,46,*,8,25,51,26,14,2,46,338
1,1,1,1,8,25,51,26,14,2,46,*,8,25,51,26,14,2,46,343
0.714286,0.714286,0.75,0.714286,6,50,8,25,51,26,14,*,6,50,8,25,51,14,2,359
1,1,1,1,8,25,51,26,14,2,46,*,8,25,51,26,14,2,46,383
1,1,1,1,8,25,51,26,14,2,46,*,8,25,51,26,14,2,46,387
1,1,1,1,8,25,51,26,14,2,46,*,8,25,51,26,14,2,46,414
0.714286,0.714286,0.75,0.571429,50,8,25,51,26,14,2,*,50,8,25,51,14,2,46,423
1,1,1,1,8,25,51,26,14,2,46,*,8,25,51,26,14,2,46,44
0.857143,0.857143,0.75,0.857143,26,14,46,40,44,45,32,*,26,14,46,40,44,45,35,450
1,1,1,1,8,25,51,26,14,2,46,*,8,25,51,26,14,2,46,532
1,1,1,1,8,25,51,26,14,2,46,*,8,25,51,26,14,2,46,535
1,1,1,1,25,51,26,14,2,46,40,*,25,51,26,14,2,46,40,541
1,1,1,1,25,51,26,14,2,46,40,*,25,51,26,14,2,46,40,542
0.857143,0.857143,0.75,0.857143,8,25,51,26,14,2,40,*,8,25,51,26,14,2,46,558
1,1,1,1,25,51,26,14,2,46,40,*,25,51,26,14,2,46,40,561
1,1,1,1,8,25,51,26,14,2,46,*,8,25,51,26,14,2,46,572
0.285714,0.285714,0.4,0,26,14,46,40,55,48,35,*,51,26,14,2,46,40,44,582
0,0,0,0,1,43,40,11,11,42,10,*,2,37,37,47,50,6,37,583
1,1,1,1,25,51,26,14,2,46,40,*,25,51,26,14,2,46,40,591
1,1,1,1,25,51,26,14,2,46,40,*,25,51,26,14,2,46,40,597
1,1,1,1,51,26,14,2,46,40,44,*,51,26,14,2,46,40,44,629
1,1,1,1,25,51,26,14,2,46,40,*,25,51,26,14,2,46,40,646
1,1,1,1,8,25,51,26,14,2,46,*,8,25,51,26,14,2,46,670
1,1,1,1,25,51,26,14,2,46,40,*,25,51,26,14,2,46,40,679
0.142857,0.142857,0.4,0,14,46,40,44,45,35,1,*,51,26,14,2,46,40,44,722
1,1,1,1,25,51,26,14,2,46,40,*,25,51,26,14,2,46,40,731
1,1,1,1,25,51,26,14,2,46,40,*,25,51,26,14,2,46,40,767
1,1,1,1,25,51,26,14,2,46,40,*,25,51,26,14,2,46,40,774
0.142857,0.142857,0.4,0,50,8,25,51,26,14,2,*,51,26,14,2,46,40,44,783
0.428571,0.428571,0.555556,0,26,14,46,40,44,45,1,*,51,26,14,2,46,40,44,789
1,1,1,1,25,51,26,14,2,46,40,*,25,51,26,14,2,46,40,801
1,1,1,1,25,51,26,14,2,46,40,*,25,51,26,14,2,46,40,802
0,0,0.0769231,0,50,8,25,51,26,14,2,*,26,1,43,11,42,10,44,811
1,1,1,1,25,51,26,14,2,46,40,*,25,51,26,14,2,46,40,835
1,1,1,1,8,25,51,26,14,2,46,*,8,25,51,26,14,2,46,841
1,1,1,1,25,51,26,14,2,46,40,*,25,51,26,14,2,46,40,855
1,1,1,1,25,51,26,14,2,46,40,*,25,51,26,14,2,46,40,865
1,1,1,1,25,51,26,14,2,46,40,*,25,51,26,14,2,46,40,872
1,1,1,1,50,8,25,51,26,14,2,*,50,8,25,51,26,14,2,883
0,0,0.0909091,0,8,51,26,14,2,46,40,*,6,6,6,44,50,8,25,890
1,1,1,1,25,51,26,14,2,46,40,*,25,51,26,14,2,46,40,892
1,1,1,1,8,25,51,26,14,2,46,*,8,25,51,26,14,2,46,896
1,1,1,1,50,8,25,51,26,14,2,*,50,8,25,51,26,14,2,93
