0.625,0.625,0.625,0.125,2,6,11,10,37,37,2,9,*,6,11,10,37,37,2,15,47,110
1,1,1,1,8,25,51,26,14,2,46,40,*,8,25,51,26,14,2,46,40,124
0.75,0.75,0.777778,0.5,50,8,25,51,14,2,46,40,*,50,8,25,51,26,14,2,46,131
0.75,0.75,0.777778,0.5,50,8,25,51,14,2,46,40,*,50,8,25,51,26,14,2,46,135
1,1,1,1,8,25,51,26,14,2,46,40,*,8,25,51,26,14,2,46,40,145
0.375,0.375,0.333333,0.375,2,15,37,37,31,37,2,37,*,2,6,10,37,37,6,10,37,191
1,1,1,1,25,51,26,14,2,46,40,44,*,25,51,26,14,2,46,40,44,195
1,1,1,1,8,25,51,26,14,2,46,40,*,8,25,51,26,14,2,46,40,21
1,1,1,1,8,25,51,26,14,2,46,40,*,8,25,51,26,14,2,46,40,214
0,0,0.142857,0,6,50,8,25,51,26,14,2,*,26,14,46,44,45,35,32,40,248
1,1,1,1,8,25,51,26,14,2,46,40,*,8,25,51,26,14,2,46,40,249
1,1,1,1,8,25,51,26,14,2,46,40,*,8,25,51,26,14,2,46,40,25
0.25,0.25,0.555556,0.125,14,44,45,32,40,46,37,37,*,14,40,44,45,35,26,32,40,257
0.125,0.125,0.444444,0.125,6,26,14,46,40,32,40,37,*,26,26,32,40,37,19,,19,291
1,1,1,1,8,25,51,26,14,2,46,40,*,8,25,51,26,14,2,46,40,37
1,1,1,1,8,25,51,26,14,2,46,40,*,8,25,51,26,14,2,46,40,373
0.25,0.25,0.333333,0,6,6,6,44,26,14,32,51,*,2,35,47,6,6,6,26,14,374
1,1,1,1,8,25,51,26,14,2,46,40,*,8,25,51,26,14,2,46,40,380
1,1,1,1,8,25,51,26,14,2,46,40,*,8,25,51,26,14,2,46,40,382
1,1,1,1,8,25,51,26,14,2,46,40,*,8,25,51,26,14,2,46,40,417
0.75,0.75,0.777778,0.375,8,25,51,14,2,46,40,44,*,8,25,51,26,14,2,46,40,469
1,1,1,1,8,25,51,26,14,2,46,40,*,8,25,51,26,14,2,46,40,482
0.75,0.75,0.875,0.75,26,14,46,40,44,45,35,32,*,26,14,46,40,44,45,32,40,483
1,1,1,1,50,8,25,51,26,14,2,46,*,50,8,25,51,26,14,2,46,493
0.5,0.5,0.285714,0.375,54,,6,35,6,6,6,37,*,12,6,35,6,6,6,6,27,499
0,0,0.333333,0,51,26,3,14,2,46,40,48,*,26,14,46,44,45,35,32,40,509
1,1,1,1,25,51,26,14,2,46,40,44,*,25,51,26,14,2,46,40,44,516
1,1,1,1,8,25,51,26,14,2,46,40,*,8,25,51,26,14,2,46,40,518
0.5,0.5,0.875,0.375,25,51,14,12,40,2,10,46,*,25,51,2,14,12,2,46,40,534
1,1,1,1,50,8,25,51,26,14,2,46,*,50,8,25,51,26,14,2,46,537
1,1,1,1,50,8,25,51,26,14,2,46,*,50,8,25,51,26,14,2,46,55
1,1,1,1,8,25,51,26,14,2,46,40,*,8,25,51,26,14,2,46,40,554
0.5,0.5,0.555556,0.5,46,40,44,45,24,10,37,37,*,46,40,44,45,35,32,40,24,556
1,1,1,1,25,51,26,14,2,46,40,44,*,25,51,26,14,2,46,40,44,566
0.75,0.75,0.777778,0.75,8,25,51,26,14,2,46,40,*,8,25,51,26,14,2,40,44,579
1,1,1,1,25,51,26,14,2,46,40,44,*,25,51,26,14,2,46,40,44,587
1,1,1,1,8,25,51,26,14,2,46,40,*,8,25,51,26,14,2,46,40,59
1,1,1,1,25,51,26,14,2,46,40,44,*,25,51,26,14,2,46,40,44,591
1,1,1,1,25,51,26,14,2,46,40,44,*,25,51,26,14,2,46,40,44,598
1,1,1,1,25,51,26,14,2,46,40,44,*,25,51,26,14,2,46,40,44,600
0.75,0.75,0.75,0,51,14,40,2,46,40,44,45,*,14,40,2,46,40,44,45,35,614
1,1,1,1,25,51,26,14,2,46,40,44,*,25,51,26,14,2,46,40,44,619
1,1,1,1,25,51,26,14,2,46,40,44,*,25,51,26,14,2,46,40,44,620
1,1,1,1,25,51,26,14,2,46,40,44,*,25,51,26,14,2,46,40,44,626
1,1,1,1,51,26,14,2,46,40,44,45,*,51,26,14,2,46,40,44,45,666
1,1,1,1,25,51,26,14,2,46,40,44,*,25,51,26,14,2,46,40,44,667
1,1,1,1,50,8,25,51,26,14,2,46,*,50,8,25,51,26,14,2,46,674
1,1,1,1,50,8,25,51,26,14,2,46,*,50,8,25,51,26,14,2,46,686
1,1,1,1,8,25,51,26,14,2,46,40,*,8,25,51,26,14,2,46,40,699
0.75,0.75,0.777778,0.375,8,25,51,14,2,46,40,44,*,8,25,51,26,14,2,46,40,708
1,1,1,1,25,51,26,14,2,46,40,44,*,25,51,26,14,2,46,40,44,714
1,1,1,1,25,51,26,14,2,46,40,44,*,25,51,26,14,2,46,40,44,740
1,1,1,1,25,51,26,14,2,46,40,44,*,25,51,26,14,2,46,40,44,742
1,1,1,1,8,25,51,26,14,2,46,40,*,8,25,51,26,14,2,46,40,743
1,1,1,1,6,50,8,25,51,26,14,2,*,6,50,8,25,51,26,14,2,76
1,1,1,1,25,51,26,14,2,46,40,44,*,25,51,26,14,2,46,40,44,771
1,1,1,1,25,51,26,14,2,46,40,44,*,25,51,26,14,2,46,40,44,774
1,1,1,1,8,25,51,26,14,2,46,40,*,8,25,51,26,14,2,46,40,785
1,1,1,1,25,51,26,14,2,46,40,44,*,25,51,26,14,2,46,40,44,790
1,1,1,1,25,51,26,14,2,46,40,44,*,25,51,26,14,2,46,40,44,808
1,1,1,1,25,51,26,14,2,46,40,44,*,25,51,26,14,2,46,40,44,818
