1,1,1,1,2,46,40,44,45,35,1,*,2,46,40,44,45,35,1,124
1,1,1,1,51,26,14,2,46,40,44,*,51,26,14,2,46,40,44,15
0.714286,0.714286,0.75,0,26,14,2,46,40,44,45,*,14,2,46,40,44,45,35,170
1,1,1,1,2,46,40,44,45,35,1,*,2,46,40,44,45,35,1,176
0,0,0.111111,0,37,19,6,6,6,26,14,*,50,23,37,37,2,37,27,212
1,1,1,1,2,46,40,44,45,35,1,*,2,46,40,44,45,35,1,214
1,1,1,1,2,46,40,44,45,35,1,*,2,46,40,44,45,35,1,219
1,1,1,1,2,46,40,44,45,35,1,*,2,46,40,44,45,35,1,24
1,1,1,1,2,46,40,44,45,35,1,*,2,46,40,44,45,35,1,247
0.714286,0.714286,0.75,0,26,14,2,46,40,44,45,*,14,2,46,40,44,45,35,256
0.285714,0.285714,0.5,0.142857,46,37,37,2,47,37,37,*,37,37,47,15,37,2,6,257
0,0,0.25,0,14,46,40,1,43,26,40,*,1,1,43,43,11,1,42,307
0.714286,0.714286,0.857143,0,26,14,46,40,1,43,26,*,14,46,40,1,43,26,42,312
1,1,1,1,2,46,40,44,45,35,1,*,2,46,40,44,45,35,1,322
1,1,1,1,2,46,40,44,45,35,1,*,2,46,40,44,45,35,1,329
1,1,1,1,2,46,40,44,45,35,1,*,2,46,40,44,45,35,1,355
0.714286,0.714286,0.75,0,26,14,2,46,40,44,45,*,14,2,46,40,44,45,35,377
0.428571,0.428571,0.25,0.428571,19,,19,,6,6,48,*,19,11,53,27,6,6,26,388
1,1,1,1,2,46,40,44,45,35,1,*,2,46,40,44,45,35,1,417
0.714286,0.714286,0.75,0,14,2,46,40,44,45,35,*,2,46,40,44,45,35,1,418
1,1,1,1,2,46,40,44,45,35,1,*,2,46,40,44,45,35,1,445
0.142857,0.142857,0.1,0.142857,45,32,40,37,37,2,6,*,45,1,1,43,43,26,11,450
0.428571,0.428571,0.444444,0,40,44,45,35,32,40,24,*,46,40,44,45,35,1,43,453
0.142857,0.142857,0.1,0.142857,45,35,32,40,24,37,37,*,45,1,1,43,43,26,11,483
0.571429,0.571429,0.555556,0,46,40,44,45,35,14,32,*,2,46,40,44,45,35,1,488
1,1,1,1,2,46,40,44,45,35,1,*,2,46,40,44,45,35,1,490
0.428571,0.428571,0.6,0.285714,6,6,37,37,2,47,37,*,6,6,27,27,37,37,47,499
1,1,1,1,2,46,40,44,45,35,1,*,2,46,40,44,45,35,1,535
