1,1,1,1,2,46,40,44,45,*,2,46,40,44,45,113
0.6,0.6,0.666667,0,26,14,2,46,40,*,14,2,46,40,44,119
1,1,1,1,2,46,40,44,45,*,2,46,40,44,45,135
0.6,0.6,0.666667,0,14,2,46,40,44,*,2,46,40,44,45,153
1,1,1,1,2,46,40,44,45,*,2,46,40,44,45,162
1,1,1,1,26,14,2,46,40,*,26,14,2,46,40,170
0.6,0.6,0.666667,0,26,14,2,46,40,*,14,2,46,40,44,18
1,1,1,1,2,46,40,44,45,*,2,46,40,44,45,19
0,0,0.166667,0,37,19,6,6,6,*,50,23,37,37,2,212
0.6,0.6,0.666667,0,46,40,44,45,35,*,2,46,40,44,45,237
1,1,1,1,44,45,35,32,40,*,44,45,35,32,40,239
1,1,1,1,2,46,40,44,45,*,2,46,40,44,45,247
0.6,0.6,0.666667,0,46,40,44,45,35,*,2,46,40,44,45,250
1,1,1,1,26,14,2,46,40,*,26,14,2,46,40,256
0.2,0.2,0.142857,0.2,45,19,32,40,24,*,45,1,1,43,43,267
0.6,0.6,0.666667,0,46,40,44,45,32,*,2,46,40,44,45,296
1,1,1,1,2,46,40,44,45,*,2,46,40,44,45,322
1,1,1,1,2,46,40,44,45,*,2,46,40,44,45,373
0,0,0,0,14,32,51,37,37,*,1,1,43,43,11,374
1,1,1,1,2,46,40,44,45,*,2,46,40,44,45,382
0.4,0.4,0.333333,0.4,19,,19,,6,*,19,11,53,27,6,388
1,1,1,1,2,46,40,44,45,*,2,46,40,44,45,389
1,1,1,1,2,46,40,44,45,*,2,46,40,44,45,434
1,1,1,1,26,14,2,46,40,*,26,14,2,46,40,454
0,0,0,0,24,51,2,37,37,*,45,35,32,40,11,46
0.6,0.6,0.666667,0,14,2,46,40,44,*,2,46,40,44,45,468
1,1,1,1,2,46,40,44,45,*,2,46,40,44,45,482
0.6,0.6,0.666667,0,14,2,46,40,44,*,2,46,40,44,45,49
1,1,1,1,2,46,40,44,45,*,2,46,40,44,45,518
1,1,1,1,2,46,40,44,45,*,2,46,40,44,45,521
0.6,0.6,0.666667,0,14,2,46,40,44,*,2,46,40,44,45,527
1,1,1,1,2,46,40,44,45,*,2,46,40,44,45,532
0.6,0.6,0.666667,0,46,40,44,45,35,*,2,46,40,44,45,563
0.6,0.6,0.666667,0,46,40,44,45,35,*,2,46,40,44,45,575
1,1,1,1,2,46,40,44,45,*,2,46,40,44,45,586
0.6,0.6,0.666667,0,46,40,44,45,35,*,2,46,40,44,45,587
0.6,0.6,0.666667,0,46,40,44,45,35,*,2,46,40,44,45,595
0.6,0.6,0.666667,0,46,40,44,45,35,*,2,46,40,44,45,598
0.6,0.6,0.666667,0,46,40,44,45,35,*,2,46,40,44,45,600
1,1,1,1,26,14,2,46,40,*,26,14,2,46,40,618
0.6,0.6,0.666667,0,14,2,46,40,44,*,2,46,40,44,45,623
0.6,0.6,0.666667,0,46,40,44,45,35,*,2,46,40,44,45,627
0.6,0.6,0.666667,0,46,40,44,45,35,*,2,46,40,44,45,649
1,1,1,1,2,46,40,44,45,*,2,46,40,44,45,65
0,0,0,0,6,50,8,8,25,*,51,26,14,46,40,654
1,1,1,1,2,46,40,44,45,*,2,46,40,44,45,676
0.6,0.6,0.666667,0,46,40,44,45,35,*,2,46,40,44,45,682
0.6,0.6,0.666667,0,46,40,44,45,35,*,2,46,40,44,45,684
0.6,0.6,0.666667,0,14,2,46,40,44,*,2,46,40,44,45,686
0.6,0.6,0.666667,0,46,40,44,45,35,*,2,46,40,44,45,696
1,1,1,1,2,46,40,44,45,*,2,46,40,44,45,699
0.6,0.6,0.666667,0,14,2,46,40,44,*,2,46,40,44,45,705
1,1,1,1,2,46,40,44,45,*,2,46,40,44,45,709
0.2,0.2,0.2,0.2,32,37,19,19,19,*,10,37,37,6,6,711
0.2,0.2,0.25,0,35,1,43,24,11,*,32,40,24,11,2,722
0.6,0.6,0.666667,0,46,40,44,45,35,*,2,46,40,44,45,723
0.6,0.6,0.666667,0,46,40,44,45,35,*,2,46,40,44,45,740
0.6,0.6,0.666667,0,14,2,46,40,44,*,2,46,40,44,45,768
1,1,1,1,26,14,2,46,40,*,26,14,2,46,40,773
0.6,0.6,0.666667,0,46,40,44,45,35,*,2,46,40,44,45,778
0.6,0.6,0.666667,0,46,40,44,45,35,*,2,46,40,44,45,790
1,1,1,1,2,46,40,44,45,*,2,46,40,44,45,792
0.6,0.6,0.666667,0,14,2,46,40,44,*,2,46,40,44,45,811
0.6,0.6,0.666667,0,46,40,44,45,35,*,2,46,40,44,45,814
0.6,0.6,0.666667,0,46,40,44,45,35,*,2,46,40,44,45,820
0.6,0.6,0.666667,0,14,2,46,40,44,*,2,46,40,44,45,824
1,1,1,1,2,46,40,44,45,*,2,46,40,44,45,830
0.6,0.6,0.666667,0,46,40,44,45,35,*,2,46,40,44,45,833
0.6,0.6,0.666667,0,46,40,44,45,35,*,2,46,40,44,45,834
0.6,0.6,0.666667,0,46,40,44,45,35,*,2,46,40,44,45,844
0.6,0.6,0.666667,0,46,40,44,45,35,*,2,46,40,44,45,848
0.2,0.2,0.666667,0.2,14,12,40,2,46,*,14,2,46,40,44,849
0.6,0.6,0.666667,0,14,2,46,40,44,*,2,46,40,44,45,852
0.4,0.4,0.428571,0.4,46,40,24,55,44,*,46,40,44,45,35,856
1,1,1,1,51,26,14,2,46,*,51,26,14,2,46,858
0.6,0.6,0.666667,0,46,40,44,45,35,*,2,46,40,44,45,869
0.6,0.6,0.666667,0,46,40,44,45,35,*,2,46,40,44,45,878
0,0,0.125,0,40,32,40,46,10,*,44,45,19,32,24,880
1,1,1,1,2,46,40,44,45,*,2,46,40,44,45,888
0.6,0.6,0.666667,0,46,40,44,45,35,*,2,46,40,44,45,894
0.6,0.6,0.666667,0,46,40,44,45,35,*,2,46,40,44,45,898
0.6,0.6,0.666667,0.2,2,31,46,40,44,*,2,46,40,44,45,90
0.6,0.6,0.666667,0,46,40,44,45,35,*,2,46,40,44,45,913
0,0,0.285714,0,15,37,6,6,26,*,2,11,15,47,37,92
0.6,0.6,0.666667,0,14,2,46,40,44,*,2,46,40,44,45,93
