1,1,1,1,8,25,51,26,14,2,46,40,44,45,*,8,25,51,26,14,2,46,40,44,45,113
0.8,0.8,0.818182,0,6,50,8,25,51,26,14,2,46,40,*,50,8,25,51,26,14,2,46,40,44,119
0.4,0.4,0.4,0.1,37,37,2,27,37,47,21,6,6,50,*,37,27,37,43,6,6,6,50,8,25,134
0.8,0.8,0.818182,0.4,50,8,25,51,14,2,46,40,44,45,*,50,8,25,51,26,14,2,46,40,44,135
0,0,0.133333,0,6,6,6,26,35,8,24,32,11,22,*,32,37,23,2,47,23,54,18,56,11,151
1,1,1,1,50,8,25,51,26,14,2,46,40,44,*,50,8,25,51,26,14,2,46,40,44,153
1,1,1,1,8,25,51,26,14,2,46,40,44,45,*,8,25,51,26,14,2,46,40,44,45,162
1,1,1,1,6,50,8,25,51,26,14,2,46,40,*,6,50,8,25,51,26,14,2,46,40,170
0.8,0.8,0.818182,0,6,50,8,25,51,26,14,2,46,40,*,50,8,25,51,26,14,2,46,40,44,18
0.8,0.8,0.818182,0.4,50,8,25,51,14,2,46,40,44,45,*,50,8,25,51,26,14,2,46,40,44,19
0,0,0.153846,0,26,37,37,27,37,37,19,6,6,6,*,6,50,8,25,51,26,14,2,46,40,212
0.8,0.8,0.818182,0.3,8,25,51,14,2,46,40,44,45,35,*,8,25,51,26,14,2,46,40,44,45,237
1,1,1,1,14,40,2,46,40,44,45,35,32,40,*,14,40,2,46,40,44,45,35,32,40,239
1,1,1,1,8,25,51,26,14,2,46,40,44,45,*,8,25,51,26,14,2,46,40,44,45,247
1,1,1,1,25,51,26,14,2,46,40,44,45,35,*,25,51,26,14,2,46,40,44,45,35,250
1,1,1,1,6,50,8,25,51,26,14,2,46,40,*,6,50,8,25,51,26,14,2,46,40,256
0.1,0.1,0.545455,0,25,51,26,14,2,46,40,44,45,32,*,26,14,46,40,32,40,46,37,37,2,296
1,1,1,1,8,25,51,26,14,2,46,40,44,45,*,8,25,51,26,14,2,46,40,44,45,322
0.2,0.2,0.333333,0.2,41,47,44,2,37,23,2,47,37,54,*,22,37,37,2,47,37,2,37,35,47,367
1,1,1,1,8,25,51,26,14,2,46,40,44,45,*,8,25,51,26,14,2,46,40,44,45,373
0.2,0.2,0.272727,0,6,6,6,44,26,14,32,51,37,37,*,2,35,47,6,6,6,26,14,2,46,374
1,1,1,1,8,25,51,26,14,2,46,40,44,45,*,8,25,51,26,14,2,46,40,44,45,382
0,0,0.222222,0,19,,,19,,19,,19,,6,*,2,37,19,6,6,6,14,31,46,40,388
1,1,1,1,8,25,51,26,14,2,46,40,44,45,*,8,25,51,26,14,2,46,40,44,45,389
1,1,1,1,8,25,51,26,14,2,46,40,44,45,*,8,25,51,26,14,2,46,40,44,45,434
1,1,1,1,6,50,8,25,51,26,14,2,46,40,*,6,50,8,25,51,26,14,2,46,40,454
0.2,0.2,0.5,0.1,8,26,14,2,40,24,51,2,37,37,*,8,25,51,26,14,2,46,40,44,45,46
0.3,0.3,0.444444,0.3,19,6,6,6,6,6,6,44,14,46,*,2,37,19,6,6,6,14,31,46,40,465
1,1,1,1,50,8,25,51,26,14,2,46,40,44,*,50,8,25,51,26,14,2,46,40,44,468
0,0,0.357143,0,14,2,46,40,45,35,19,32,40,24,*,8,25,51,26,14,2,46,40,44,45,475
1,1,1,1,8,25,51,26,14,2,46,40,44,45,*,8,25,51,26,14,2,46,40,44,45,482
1,1,1,1,50,8,25,51,26,14,2,46,40,44,*,50,8,25,51,26,14,2,46,40,44,49
0,0,0.0833333,0,23,2,47,19,29,29,6,6,6,6,*,6,6,6,6,50,8,25,51,26,14,510
1,1,1,1,8,25,51,26,14,2,46,40,44,45,*,8,25,51,26,14,2,46,40,44,45,518
1,1,1,1,8,25,51,26,14,2,46,40,44,45,*,8,25,51,26,14,2,46,40,44,45,521
1,1,1,1,50,8,25,51,26,14,2,46,40,44,*,50,8,25,51,26,14,2,46,40,44,527
1,1,1,1,8,25,51,26,14,2,46,40,44,45,*,8,25,51,26,14,2,46,40,44,45,532
1,1,1,1,25,51,26,14,2,46,40,44,45,35,*,25,51,26,14,2,46,40,44,45,35,563
1,1,1,1,25,51,26,14,2,46,40,44,45,35,*,25,51,26,14,2,46,40,44,45,35,575
1,1,1,1,8,25,51,26,14,2,46,40,44,45,*,8,25,51,26,14,2,46,40,44,45,586
1,1,1,1,25,51,26,14,2,46,40,44,45,35,*,25,51,26,14,2,46,40,44,45,35,587
1,1,1,1,25,51,26,14,2,46,40,44,45,35,*,25,51,26,14,2,46,40,44,45,35,595
1,1,1,1,25,51,26,14,2,46,40,44,45,35,*,25,51,26,14,2,46,40,44,45,35,598
0,0,0,0,6,1,43,26,32,15,42,44,37,37,*,25,51,14,2,46,40,55,55,45,19,60
1,1,1,1,25,51,26,14,2,46,40,44,45,35,*,25,51,26,14,2,46,40,44,45,35,600
1,1,1,1,6,50,8,25,51,26,14,2,46,40,*,6,50,8,25,51,26,14,2,46,40,618
1,1,1,1,50,8,25,51,26,14,2,46,40,44,*,50,8,25,51,26,14,2,46,40,44,623
1,1,1,1,25,51,26,14,2,46,40,44,45,35,*,25,51,26,14,2,46,40,44,45,35,627
0,0,0,0,1,43,42,37,,,,19,57,29,*,6,6,44,8,25,51,51,14,40,2,628
1,1,1,1,25,51,26,14,2,46,40,44,45,35,*,25,51,26,14,2,46,40,44,45,35,649
1,1,1,1,8,25,51,26,14,2,46,40,44,45,*,8,25,51,26,14,2,46,40,44,45,65
0,0,0.0833333,0,6,6,6,6,6,6,50,8,8,25,*,25,51,14,2,46,40,55,55,45,19,654
1,1,1,1,8,25,51,26,14,2,46,40,44,45,*,8,25,51,26,14,2,46,40,44,45,676
1,1,1,1,25,51,26,14,2,46,40,44,45,35,*,25,51,26,14,2,46,40,44,45,35,682
1,1,1,1,25,51,26,14,2,46,40,44,45,35,*,25,51,26,14,2,46,40,44,45,35,684
1,1,1,1,50,8,25,51,26,14,2,46,40,44,*,50,8,25,51,26,14,2,46,40,44,686
1,1,1,1,25,51,26,14,2,46,40,44,45,35,*,25,51,26,14,2,46,40,44,45,35,696
1,1,1,1,8,25,51,26,14,2,46,40,44,45,*,8,25,51,26,14,2,46,40,44,45,699
1,1,1,1,50,8,25,51,26,14,2,46,40,44,*,50,8,25,51,26,14,2,46,40,44,705
1,1,1,1,8,25,51,26,14,2,46,40,44,45,*,8,25,51,26,14,2,46,40,44,45,709
0,0,0.230769,0,46,40,19,26,40,32,37,19,19,19,*,50,8,25,51,26,14,2,46,40,44,711
0.3,0.3,0.428571,0,14,46,40,44,45,35,1,43,24,11,*,51,26,14,2,46,40,44,45,35,32,722
1,1,1,1,25,51,26,14,2,46,40,44,45,35,*,25,51,26,14,2,46,40,44,45,35,723
0,0,0,0,19,,19,9,47,,,19,,,*,6,6,50,8,25,51,26,14,2,46,728
1,1,1,1,25,51,26,14,2,46,40,44,45,35,*,25,51,26,14,2,46,40,44,45,35,740
0,0,0.384615,0,6,6,25,51,3,32,14,2,8,46,*,25,51,14,2,46,40,55,55,45,19,747
1,1,1,1,50,8,25,51,26,14,2,46,40,44,*,50,8,25,51,26,14,2,46,40,44,768
1,1,1,1,6,50,8,25,51,26,14,2,46,40,*,6,50,8,25,51,26,14,2,46,40,773
1,1,1,1,25,51,26,14,2,46,40,44,45,35,*,25,51,26,14,2,46,40,44,45,35,778
0,0,0.153846,0,51,37,37,2,47,34,47,47,47,18,*,6,6,50,8,25,51,26,14,2,46,782
1,1,1,1,25,51,26,14,2,46,40,44,45,35,*,25,51,26,14,2,46,40,44,45,35,790
