1,1,1,1,2,46,40,44,45,32,*,2,46,40,44,45,32,114
0.833333,0.833333,0.714286,0.833333,46,40,44,45,35,32,*,46,40,44,45,35,1,116
1,1,1,1,26,14,2,46,40,44,*,26,14,2,46,40,44,119
0.666667,0.666667,0.714286,0.166667,51,14,2,46,40,44,*,51,26,14,2,46,40,12
1,1,1,1,2,46,40,44,45,35,*,2,46,40,44,45,35,124
1,1,1,1,26,14,2,46,40,44,*,26,14,2,46,40,44,13
0.666667,0.666667,0.714286,0,2,46,40,44,45,35,*,14,2,46,40,44,45,131
0.666667,0.666667,0.714286,0,2,46,40,44,45,35,*,14,2,46,40,44,45,135
1,1,1,1,2,46,40,44,45,35,*,2,46,40,44,45,35,162
1,1,1,1,2,46,40,44,45,35,*,2,46,40,44,45,35,164
1,1,1,1,2,46,40,44,45,35,*,2,46,40,44,45,35,182
0.666667,0.666667,0.714286,0,2,46,40,44,45,35,*,14,2,46,40,44,45,19
0.666667,0.666667,0.714286,0,14,2,46,40,44,45,*,26,14,2,46,40,44,199
0.666667,0.666667,0.714286,0,2,46,40,44,45,35,*,14,2,46,40,44,45,219
1,1,1,1,2,46,40,44,45,35,*,2,46,40,44,45,35,254
1,1,1,1,2,46,40,44,45,35,*,2,46,40,44,45,35,284
1,1,1,1,2,46,40,44,45,35,*,2,46,40,44,45,35,338
1,1,1,1,2,46,40,44,45,35,*,2,46,40,44,45,35,37
1,1,1,1,14,2,46,40,44,45,*,14,2,46,40,44,45,378
1,1,1,1,2,46,40,44,45,35,*,2,46,40,44,45,35,380
1,1,1,1,2,46,40,44,45,35,*,2,46,40,44,45,35,387
1,1,1,1,2,46,40,44,45,35,*,2,46,40,44,45,35,452
1,1,1,1,2,46,40,44,45,35,*,2,46,40,44,45,35,478
0.5,0.5,0.571429,0.166667,45,35,32,40,24,37,*,45,32,40,37,37,2,483
1,1,1,1,14,2,46,40,44,45,*,14,2,46,40,44,45,49
1,1,1,1,2,46,40,44,45,35,*,2,46,40,44,45,35,490
1,1,1,1,14,2,46,40,44,45,*,14,2,46,40,44,45,497
1,1,1,1,2,46,40,44,45,35,*,2,46,40,44,45,35,508
1,1,1,1,2,46,40,44,45,35,*,2,46,40,44,45,35,533
1,1,1,1,14,2,46,40,44,45,*,14,2,46,40,44,45,55
0.333333,0.333333,0.571429,0.166667,2,40,44,35,32,40,*,2,46,40,44,45,35,558
1,1,1,1,46,40,44,45,35,1,*,46,40,44,45,35,1,563
1,1,1,1,2,46,40,44,45,35,*,2,46,40,44,45,35,572
1,1,1,1,2,46,40,44,45,35,*,2,46,40,44,45,35,573
1,1,1,1,46,40,44,45,35,1,*,46,40,44,45,35,1,591
1,1,1,1,46,40,44,45,35,1,*,46,40,44,45,35,1,594
1,1,1,1,46,40,44,45,35,1,*,46,40,44,45,35,1,597
1,1,1,1,46,40,44,45,35,1,*,46,40,44,45,35,1,625
1,1,1,1,40,44,45,35,32,40,*,40,44,45,35,32,40,629
1,1,1,1,46,40,44,45,35,1,*,46,40,44,45,35,1,649
1,1,1,1,14,2,46,40,44,45,*,14,2,46,40,44,45,663
0.833333,0.833333,0.714286,0.833333,46,40,44,45,35,32,*,46,40,44,45,35,1,671
1,1,1,1,46,40,44,45,35,1,*,46,40,44,45,35,1,679
0.833333,0.833333,0.714286,0.833333,46,40,44,45,35,32,*,46,40,44,45,35,1,696
1,1,1,1,25,51,26,14,2,46,*,25,51,26,14,2,46,697
1,1,1,1,2,46,40,44,45,35,*,2,46,40,44,45,35,709
1,1,1,1,46,40,44,45,35,1,*,46,40,44,45,35,1,781
1,1,1,1,46,40,44,45,35,1,*,46,40,44,45,35,1,790
1,1,1,1,2,46,40,44,45,35,*,2,46,40,44,45,35,792
1,1,1,1,46,40,44,45,35,1,*,46,40,44,45,35,1,801
1,1,1,1,26,14,2,46,40,44,*,26,14,2,46,40,44,806
1,1,1,1,46,40,44,45,35,1,*,46,40,44,45,35,1,823
1,1,1,1,14,2,46,40,44,45,*,14,2,46,40,44,45,824
1,1,1,1,14,2,46,40,44,45,*,14,2,46,40,44,45,839
1,1,1,1,14,2,46,40,44,45,*,14,2,46,40,44,45,852
1,1,1,1,46,40,44,45,35,1,*,46,40,44,45,35,1,859
1,1,1,1,46,40,44,45,35,1,*,46,40,44,45,35,1,863
1,1,1,1,46,40,44,45,35,1,*,46,40,44,45,35,1,864
1,1,1,1,46,40,44,45,35,1,*,46,40,44,45,35,1,872
1,1,1,1,46,40,44,45,35,1,*,46,40,44,45,35,1,874
1,1,1,1,46,40,44,45,35,1,*,46,40,44,45,35,1,875
1,1,1,1,46,40,44,45,35,1,*,46,40,44,45,35,1,878
1,1,1,1,2,46,40,44,45,35,*,2,46,40,44,45,35,888
1,1,1,1,46,40,44,45,35,1,*,46,40,44,45,35,1,894
1,1,1,1,46,40,44,45,35,1,*,46,40,44,45,35,1,904
1,1,1,1,46,40,44,45,35,1,*,46,40,44,45,35,1,907
1,1,1,1,46,40,44,45,35,1,*,46,40,44,45,35,1,910
1,1,1,1,14,2,46,40,44,45,*,14,2,46,40,44,45,93
1,1,1,1,2,46,40,44,45,35,*,2,46,40,44,45,35,98
