1,1,1,1,25,51,26,14,2,*,25,51,26,14,2,116
1,1,1,1,6,6,50,8,25,*,6,6,50,8,25,12
0,0,0.2,0,37,2,37,37,37,*,2,35,47,6,6,158
1,1,1,1,8,25,51,26,14,*,8,25,51,26,14,164
0,0,0.111111,0,51,26,14,2,8,*,14,46,40,44,45,172
0.6,0.6,0.666667,0,6,50,8,25,51,*,50,8,25,51,26,18
1,1,1,1,8,25,51,26,14,*,8,25,51,26,14,201
1,1,1,1,8,25,51,26,14,*,8,25,51,26,14,21
1,1,1,1,8,25,51,26,14,*,8,25,51,26,14,214
0,0,0,0,6,50,8,25,51,*,26,14,46,44,45,248
1,1,1,1,8,25,51,26,14,*,8,25,51,26,14,25
1,1,1,1,6,50,8,25,51,*,6,50,8,25,51,256
0,0,0,0,6,50,8,25,51,*,26,37,37,27,37,264
1,1,1,1,8,25,51,26,14,*,8,25,51,26,14,297
0.2,0.2,0.333333,0,47,34,15,47,37,*,2,15,37,37,31,34
1,1,1,1,8,25,51,26,14,*,8,25,51,26,14,343
0,0,0,0,29,27,37,37,19,*,2,35,47,6,6,347
0.4,0.4,0.333333,0.4,26,26,32,40,37,*,26,26,37,19,,366
1,1,1,1,8,25,51,26,14,*,8,25,51,26,14,37
1,1,1,1,8,25,51,26,14,*,8,25,51,26,14,414
0,0,0.142857,0,6,8,51,26,14,*,26,37,37,27,37,416
0.8,0.8,0.666667,0.8,50,8,25,51,26,*,50,8,25,51,14,423
0.6,0.6,0.666667,0.4,37,37,2,37,47,*,37,37,37,2,37,435
1,1,1,1,8,25,51,26,14,*,8,25,51,26,14,445
1,1,1,1,8,25,51,26,14,*,8,25,51,26,14,482
1,1,1,1,50,8,25,51,26,*,50,8,25,51,26,497
1,1,1,1,8,25,51,26,14,*,8,25,51,26,14,508
0.4,0.4,0.333333,0.4,2,37,47,37,15,*,2,35,47,6,6,524
1,1,1,1,8,25,51,26,14,*,8,25,51,26,14,532
1,1,1,1,8,25,51,26,14,*,8,25,51,26,14,533
1,1,1,1,8,25,51,26,14,*,8,25,51,26,14,554
1,1,1,1,25,51,26,14,2,*,25,51,26,14,2,566
0,0,0,0,1,43,40,11,11,*,2,37,37,47,50,583
1,1,1,1,25,51,26,14,2,*,25,51,26,14,2,597
1,1,1,1,25,51,26,14,2,*,25,51,26,14,2,600
1,1,1,1,25,51,26,14,2,*,25,51,26,14,2,607
1,1,1,1,25,51,26,14,2,*,25,51,26,14,2,627
0,0,0.25,0,51,26,14,2,46,*,14,46,40,44,45,629
1,1,1,1,25,51,26,14,2,*,25,51,26,14,2,638
0,0,0.25,0,51,26,14,2,46,*,14,46,40,44,45,666
1,1,1,1,50,8,25,51,26,*,50,8,25,51,26,686
1,1,1,1,8,25,51,26,14,*,8,25,51,26,14,709
0.2,0.2,0.428571,0.2,44,45,32,40,10,*,19,40,32,10,37,73
1,1,1,1,8,25,51,26,14,*,8,25,51,26,14,750
0,0,0.25,0,51,26,14,2,46,*,14,46,40,44,45,756
1,1,1,1,6,50,8,25,51,*,6,50,8,25,51,76
1,1,1,1,50,8,25,51,26,*,50,8,25,51,26,768
1,1,1,1,8,25,51,26,14,*,8,25,51,26,14,785
1,1,1,1,50,8,25,51,26,*,50,8,25,51,26,794
1,1,1,1,50,8,25,51,26,*,50,8,25,51,26,8
1,1,1,1,25,51,26,14,2,*,25,51,26,14,2,801
1,1,1,1,25,51,26,14,2,*,25,51,26,14,2,808
1,1,1,1,25,51,26,14,2,*,25,51,26,14,2,814
0.6,0.6,0.666667,0,50,8,25,51,26,*,6,50,8,25,51,815
1,1,1,1,8,25,51,26,14,*,8,25,51,26,14,822
1,1,1,1,50,8,25,51,26,*,50,8,25,51,26,824
0.2,0.2,0.428571,0,51,26,14,2,46,*,26,14,46,40,44,831
1,1,1,1,25,51,26,14,2,*,25,51,26,14,2,833
1,1,1,1,8,25,51,26,14,*,8,25,51,26,14,838
1,1,1,1,25,51,26,14,2,*,25,51,26,14,2,854
1,1,1,1,25,51,26,14,2,*,25,51,26,14,2,857
1,1,1,1,25,51,26,14,2,*,25,51,26,14,2,873
1,1,1,1,25,51,26,14,2,*,25,51,26,14,2,874
1,1,1,1,25,51,26,14,2,*,25,51,26,14,2,875
1,1,1,1,50,8,25,51,26,*,50,8,25,51,26,883
0,0,0,0,18,11,53,27,,*,13,17,47,6,6,891
1,1,1,1,25,51,26,14,2,*,25,51,26,14,2,892
0.6,0.6,0.666667,0.6,8,25,51,26,14,*,8,25,51,14,2,900
1,1,1,1,25,51,26,14,2,*,25,51,26,14,2,908
1,1,1,1,25,51,26,14,2,*,25,51,26,14,2,911
