0,0,0.333333,0,6,50,*,50,8,106
0,0,0,0,6,25,*,26,37,114
0.5,0.5,0.5,0.5,37,37,*,17,37,134
0.5,0.5,0.333333,0.5,37,47,*,37,2,156
1,1,1,1,8,25,*,8,25,162
1,1,1,1,47,37,*,47,37,169
1,1,1,1,50,8,*,50,8,19
1,1,1,1,8,25,*,8,25,201
1,1,1,1,8,25,*,8,25,21
1,1,1,1,37,2,*,37,2,213
1,1,1,1,8,25,*,8,25,214
0.5,0.5,0.333333,0.5,37,15,*,37,2,218
0,0,1,0,2,37,*,37,2,243
1,1,1,1,8,25,*,8,25,247
1,1,1,1,6,50,*,6,50,256
0,0,0.333333,0,37,2,*,17,37,259
0,0,0,0,6,50,*,26,37,264
0,0,0,0,37,2,*,47,47,301
0,0,1,0,2,37,*,37,2,325
1,1,1,1,8,25,*,8,25,355
1,1,1,1,8,25,*,8,25,37
1,1,1,1,6,50,*,6,50,375
1,1,1,1,50,8,*,50,8,378
0.5,0.5,0.333333,0.5,2,6,*,2,15,385
1,1,1,1,25,51,*,25,51,396
1,1,1,1,8,25,*,8,25,414
1,1,1,1,25,51,*,25,51,415
1,1,1,1,8,25,*,8,25,434
1,1,1,1,8,25,*,8,25,445
1,1,1,1,8,25,*,8,25,447
0,0,0.333333,0,6,11,*,2,6,455
0,0,0,0,2,37,*,19,6,457
1,1,1,1,8,25,*,8,25,478
1,1,1,1,8,25,*,8,25,490
1,1,1,1,25,51,*,25,51,516
1,1,1,1,8,25,*,8,25,521
1,1,1,1,50,8,*,50,8,527
1,1,1,1,8,25,*,8,25,536
1,1,1,1,8,25,*,8,25,554
1,1,1,1,25,51,*,25,51,560
1,1,1,1,2,37,*,2,37,57
1,1,1,1,25,51,*,25,51,571
1,1,1,1,25,51,*,25,51,598
1,1,1,1,8,25,*,8,25,65
1,1,1,1,25,51,*,25,51,679
1,1,1,1,6,6,*,6,6,697
1,1,1,1,8,25,*,8,25,699
1,1,1,1,8,25,*,8,25,704
1,1,1,1,8,25,*,8,25,708
1,1,1,1,25,51,*,25,51,712
1,1,1,1,8,25,*,8,25,735
1,1,1,1,8,25,*,8,25,741
1,1,1,1,8,25,*,8,25,743
1,1,1,1,8,25,*,8,25,744
0,0,0.333333,0,6,50,*,50,8,746
1,1,1,1,25,51,*,25,51,757
1,1,1,1,50,8,*,50,8,758
1,1,1,1,25,51,*,25,51,771
0,0,0,0,50,8,*,26,1,811
1,1,1,1,25,51,*,25,51,818
1,1,1,1,50,8,*,50,8,824
1,1,1,1,8,25,*,8,25,830
1,1,1,1,25,51,*,25,51,833
1,1,1,1,25,51,*,25,51,834
1,1,1,1,25,51,*,25,51,835
1,1,1,1,8,25,*,8,25,838
1,1,1,1,50,8,*,50,8,839
1,1,1,1,25,51,*,25,51,848
0,0,0,0,2,37,*,1,43,853
1,1,1,1,25,51,*,25,51,857
1,1,1,1,25,51,*,25,51,867
1,1,1,1,8,25,*,8,25,871
1,1,1,1,25,51,*,25,51,875
1,1,1,1,50,8,*,50,8,877
1,1,1,1,8,25,*,8,25,889
1,1,1,1,25,51,*,25,51,894
1,1,1,1,8,25,*,8,25,896
1,1,1,1,50,8,*,50,8,906
1,1,1,1,25,51,*,25,51,908
