0.5,0.5,0.333333,0.5,4,24,4,4,*,4,4,4,5,2802160
1,1,1,1,4,4,4,5,*,4,4,4,5,2830183
0.5,0.5,0.25,0.5,4,4,18,20,*,4,4,4,5,2840219
0.5,0.5,0.333333,0.5,4,4,3,4,*,4,4,4,5,2847199
1,1,1,1,4,4,4,5,*,4,4,4,5,2847603
0.25,0.25,0.333333,0.25,20,20,20,5,*,4,4,4,5,2851738
0.5,0.5,0.5,0.5,3,4,4,24,*,3,14,4,4,2874224
0.25,0.25,0.333333,0.25,3,20,20,20,*,3,3,4,4,2884070
0,0,0,0,4,5,11,4,*,14,20,18,3,2891719
0,0,0,0,4,4,24,5,*,14,19,19,19,2902671
0.25,0.25,0.166667,0.25,24,4,4,3,*,14,20,18,3,2955625
0.25,0.25,0.4,0.25,3,20,3,4,*,14,20,18,3,2958289
0.5,0.5,0.6,0,20,18,3,4,*,14,20,18,3,3086223
0,0,0.4,0,3,14,4,4,*,14,20,18,3,3095793
1,1,1,1,14,20,18,3,*,14,20,18,3,3169326
0.5,0.5,0.333333,0.5,4,4,4,3,*,22,4,4,4,3257848
0.75,0.75,0.333333,0.75,8,4,4,4,*,22,4,4,4,3258671
0,0,0,0,4,4,4,5,*,14,20,18,3,3307452
0.5,0.5,0.5,0.5,18,4,3,24,*,18,3,3,3,3320493
0,0,0,0,4,4,4,4,*,14,20,18,3,3322058
0,0,0,0,4,4,4,5,*,14,19,19,19,3383684
0.25,0.25,0.2,0.25,14,4,4,4,*,14,20,18,3,3452185
0,0,0,0,20,21,20,20,*,17,18,3,22,3457575
0,0.25,0.333333,0,4,3,18,20,*,17,18,3,22,3467305
0.25,0.25,0.5,0.25,4,4,4,4,*,19,19,19,4,3533366
0,0,0,0,18,18,18,18,*,3,3,3,22,3596349
1,1,1,1,3,3,4,4,*,3,3,4,4,3604677
0.5,0.5,0.6,0,36,17,18,3,*,17,18,3,22,3613048
0.25,0.25,0.2,0.25,4,17,18,3,*,4,4,4,5,3620200
0,0,0,0,36,18,3,22,*,4,4,4,5,3644413
0,0,0.333333,0,3,3,3,4,*,18,18,18,3,3744251
0.5,0.5,0.666667,0.5,3,2,3,4,*,3,3,4,4,3790242
0,0,0.4,0,3,3,36,17,*,17,18,3,22,3820370
0,0,0,0,22,4,5,2,*,18,18,18,3,3833062
0.5,0.5,0.333333,0.5,3,3,3,22,*,3,3,4,4,3837125
