1,1,1,1,5,5,6,6,*,5,5,6,6,2782209
0.5,0.5,0.5,0.5,5,5,6,24,*,5,6,6,7,2802160
0.5,0.5,0.666667,0.5,6,6,7,7,*,5,6,6,7,2830183
0.5,0.5,0.666667,0.5,6,6,7,7,*,5,6,6,7,2847603
0.25,0.25,0.333333,0.25,6,24,24,24,*,6,6,7,7,2854000
0.25,0.25,0.5,0.25,21,4,4,14,*,21,21,5,4,2884070
0,0,0.166667,0,4,5,5,6,*,18,20,14,5,2904023
0,0,0.166667,0,18,3,4,5,*,5,24,6,6,2937457
1,1,1,1,4,5,5,6,*,4,5,5,6,2952306
0.25,0.25,0.5,0,5,5,6,24,*,4,4,5,6,2955625
1,1,1,1,4,4,4,5,*,4,4,4,5,2961386
0,0,0.2,0,4,3,4,5,*,5,28,6,6,3019065
0.25,0.25,0.25,0.25,6,6,24,24,*,28,6,6,7,3019503
0.5,0.5,1,0.5,4,5,6,6,*,4,4,5,6,3153211
0.25,0.25,0.666667,0.25,5,6,6,6,*,4,5,5,6,3168727
0,0,0.2,0,4,5,20,20,*,5,28,6,6,3169120
0.25,0.25,0.25,0.25,21,21,3,4,*,20,21,21,21,3179947
0,0,0,0,18,3,4,4,*,5,6,24,24,3197502
0,0,1,0,6,24,24,24,*,24,6,6,6,3238727
0.5,0.5,0.666667,0.5,4,4,4,5,*,4,4,5,6,3265011
0,0,0,0,20,20,21,21,*,24,24,24,4,3280093
0,0.25,0.5,0,4,4,4,3,*,20,18,3,4,3292122
0.25,0.25,0.166667,0.25,4,3,18,20,*,4,4,5,6,3301142
1,1,1,1,4,4,5,6,*,4,4,5,6,3319822
0.25,0.25,0.25,0.25,6,6,6,7,*,5,24,6,6,3322058
1,1,1,1,4,4,5,6,*,4,4,5,6,3330161
0,0,0,0,20,18,4,3,*,5,6,24,24,3371671
0,0,0.25,0,15,19,19,15,*,19,20,16,16,3415302
1,1,1,1,4,4,5,6,*,4,4,5,6,3415876
0.5,0.5,0.666667,0.5,4,4,4,5,*,4,4,5,6,3423564
0,0,0.2,0,18,20,4,5,*,5,5,6,6,3464965
0.5,0.5,0.25,0.5,4,4,3,18,*,4,4,4,5,3479896
0.75,0.75,0.75,0.75,4,5,5,24,*,4,5,6,24,3494154
0.75,0.75,0.5,0.75,5,6,6,7,*,28,6,6,7,3566460
0.5,0.5,0.666667,0.5,3,3,4,4,*,3,4,4,5,3596349
0,0,0,0,5,5,24,24,*,6,6,7,7,3604677
1,1,1,1,5,24,24,24,*,5,24,24,24,3619782
