0.5,0.5,0.6,0.25,4,24,4,4,4,5,5,6,*,4,4,4,5,5,6,6,7,2802160
1,1,1,1,4,4,4,5,5,6,6,7,*,4,4,4,5,5,6,6,7,2830183
0.25,0.25,0.333333,0.25,4,4,5,18,20,4,5,5,*,4,4,4,5,5,6,6,7,2838476
0.5,0.5,0.5,0.25,4,4,18,20,4,5,5,6,*,4,4,4,5,5,6,6,7,2840219
0.375,0.375,0.333333,0.25,4,4,3,4,18,5,5,4,*,4,4,4,5,5,6,24,24,2847199
1,1,1,1,4,4,4,5,5,6,6,7,*,4,4,4,5,5,6,6,7,2857143
0.375,0.375,0.4,0.375,3,4,4,24,4,4,24,3,*,3,14,4,4,4,3,4,5,2874224
0.75,0.75,0.666667,0.75,4,20,18,3,4,4,4,5,*,14,20,18,3,4,4,4,4,2875758
0.125,0.125,0.571429,0.125,4,5,11,4,4,3,18,20,*,14,20,18,3,4,4,4,4,2891719
0.25,0.25,0.285714,0.125,5,4,22,20,4,4,3,20,*,4,17,4,4,4,5,5,6,2917203
0.5,0.5,1,0.5,18,3,4,4,4,4,5,5,*,4,4,4,3,18,4,5,5,2952306
0.125,0.125,0.5,0.125,4,4,4,5,4,5,3,18,*,14,20,18,3,4,4,4,4,2998479
0.75,0.75,0.8,0.625,3,3,4,4,4,4,5,6,*,3,3,4,4,4,5,6,24,3132548
0.75,0.75,0.75,0.5,3,3,20,20,20,21,21,3,*,5,3,3,20,20,20,21,21,3179947
0.125,0.125,0.25,0,3,4,4,4,5,6,24,24,*,14,20,18,3,4,4,4,4,3238727
0.25,0.25,0.111111,0.25,4,4,4,3,4,5,8,6,*,22,4,4,4,17,18,20,4,3257848
0.5,0.5,0.428571,0.375,8,4,4,4,4,3,18,20,*,22,4,4,4,17,18,20,4,3258671
0.5,0.5,0.571429,0.5,24,4,4,3,20,4,4,5,*,14,20,18,3,4,4,4,5,3306586
0,0,0.125,0,4,4,4,5,6,24,24,24,*,14,20,18,3,4,4,4,4,3307452
0.25,0.25,0.285714,0.25,18,18,3,14,4,4,4,3,*,18,3,3,18,19,19,20,16,3311607
0.875,0.875,0.833333,0.875,14,20,18,3,4,4,4,4,*,14,20,18,3,4,4,4,5,3387527
0.875,0.875,0.833333,0.875,14,20,18,3,4,4,4,4,*,14,20,18,3,4,4,4,5,3423564
0,0,0.142857,0,4,4,4,4,5,5,24,24,*,14,19,19,19,4,3,18,19,3449448
0.375,0.375,0.428571,0.25,14,4,4,4,4,5,6,6,*,14,20,18,3,4,4,4,5,3452185
0.875,0.875,0.833333,0.875,14,20,18,3,4,4,4,5,*,14,20,18,3,4,4,4,4,3456494
0.125,0.125,0.25,0,15,15,20,22,3,20,20,20,*,14,20,18,3,4,4,4,5,3462821
0.375,0.375,0.285714,0.25,22,4,4,4,17,18,20,4,*,4,4,4,17,4,5,5,6,3464965
0.875,0.875,1,0.875,18,3,3,3,4,4,4,3,*,18,3,3,3,4,4,4,4,3479896
0,0,0.25,0,4,4,4,5,5,6,6,7,*,14,20,18,3,4,4,4,5,3611865
0,0,0.2,0,36,18,3,22,20,4,4,5,*,4,4,4,5,28,6,6,7,3644413
0.125,0.125,0.428571,0.125,3,3,4,4,4,36,5,5,*,3,4,36,18,22,20,3,4,3648178
0.125,0.125,0.5,0,18,18,18,18,3,3,22,20,*,2,3,4,3,22,20,3,4,3719678
0.375,0.375,0.5,0.375,3,3,2,4,20,20,20,20,*,3,3,4,18,22,20,4,4,3728500
0.125,0.125,0.333333,0.125,22,4,5,2,4,3,4,5,*,18,18,18,3,3,3,3,4,3833062
0.75,0.75,0.833333,0.75,18,18,3,3,36,17,4,4,*,18,3,3,3,36,17,24,4,3854674
0.375,0.375,0.5,0.25,17,18,3,22,20,4,4,5,*,17,18,4,4,4,5,5,6,3905172
0.375,0.375,0.285714,0.25,4,3,4,4,5,5,24,24,*,4,4,4,5,28,6,6,7,3906593
0.75,0.75,1,0.375,3,3,3,4,18,22,20,4,*,3,3,4,18,22,20,4,4,3956795
0.5,0.5,0.333333,0.5,3,3,4,4,3,22,20,4,*,3,3,4,4,4,5,5,6,3989495
0,0,0.714286,0,4,4,5,4,36,17,3,22,*,36,17,3,3,22,20,4,4,4054927
0.125,0.125,0.111111,0.125,4,36,4,5,28,6,6,7,*,3,3,4,20,20,20,20,21,4088369
0.125,0.125,0.1,0.125,3,4,36,18,22,20,4,4,*,4,4,4,5,28,6,6,7,4126409
0.25,0.25,0.428571,0.25,3,4,36,18,22,20,4,4,*,3,3,4,20,20,20,20,21,4195381
0.875,0.875,0.833333,0.875,3,3,3,4,4,5,28,6,*,2,3,3,4,4,5,28,6,4273727
0.625,0.625,0.666667,0.625,4,3,3,4,4,5,28,6,*,3,4,3,4,4,5,24,6,4320126
0.625,0.625,0.666667,0.25,4,3,4,4,5,28,6,6,*,3,4,3,4,4,5,24,6,4320987
0.625,0.625,0.666667,0.625,4,3,3,4,4,5,28,6,*,3,4,3,4,4,5,24,6,4321601
0.875,0.875,0.666667,0.875,3,4,3,4,4,5,28,6,*,3,4,3,4,4,5,24,6,4336913
0.375,0.375,0.5,0.25,4,4,4,5,28,24,24,24,*,3,4,3,4,4,5,24,6,4506906
0.625,0.625,0.666667,0.25,4,3,4,4,5,28,6,6,*,3,4,3,4,4,5,24,6,4571002
1,1,1,1,18,3,3,3,4,4,4,4,*,18,3,3,3,4,4,4,4,4599434
0.25,0.25,0.5,0.25,3,3,4,2,3,24,4,5,*,18,2,3,18,3,3,4,4,4602366
0.625,0.625,0.666667,0.625,4,3,3,4,4,5,28,6,*,3,4,3,4,4,5,24,6,4606518
0.875,0.875,0.75,0.875,18,3,3,3,4,4,4,5,*,18,3,3,3,4,4,4,4,4607510
0.5,0.5,0.75,0.375,3,3,4,3,2,3,4,4,*,18,2,3,18,3,3,4,4,4611018
0.625,0.625,0.666667,0.625,4,3,3,4,4,5,28,6,*,3,4,3,4,4,5,24,6,4621666
