0.333333,0.333333,0.375,0.333333,24,27,4,4,4,5,6,6,6,*,24,24,27,4,4,18,20,14,4,3238727
1,1,1,1,6,6,7,7,7,7,27,8,8,*,6,6,7,7,7,7,27,8,8,3265011
0.111111,0.111111,0.428571,0.111111,14,4,5,6,6,6,7,7,7,*,14,24,3,24,4,5,5,24,24,3378302
0.333333,0.333333,0.375,0,7,7,7,27,8,8,8,9,11,*,3,18,20,7,7,7,27,8,8,3407887
1,1,1,1,6,6,7,7,7,7,27,8,8,*,6,6,7,7,7,7,27,8,8,3423564
0.222222,0.222222,0.333333,0.111111,24,3,27,4,4,4,5,5,6,*,24,27,4,20,22,20,20,20,21,3453014
1,1,1,1,6,4,7,7,7,7,27,8,8,*,6,4,7,7,7,7,27,8,8,3493361
0.444444,0.444444,0.833333,0.333333,24,6,4,4,5,28,6,6,7,*,24,5,5,6,28,6,6,7,7,3588647
0.444444,0.444444,0.375,0.333333,20,4,4,4,5,5,6,6,7,*,22,20,4,4,4,5,28,24,24,3597184
0.888889,0.888889,0.666667,0.888889,5,6,6,7,7,7,27,8,8,*,28,6,6,7,7,7,27,8,8,3803603
0.666667,0.666667,0.375,0.666667,7,7,27,8,8,8,9,11,11,*,7,7,27,8,8,8,22,20,3,3851782
0.111111,0.111111,0.142857,0.111111,24,24,24,24,24,27,4,4,5,*,6,6,7,7,7,27,8,8,8,3862810
0.777778,0.777778,0.8,0.555556,5,6,6,7,7,7,27,8,8,*,6,6,7,7,7,27,8,8,8,3956795
0,0,0.3,0,6,22,3,3,17,36,4,4,5,*,24,6,4,4,5,28,6,6,7,3998742
0.111111,0.111111,0.222222,0.111111,27,8,8,8,9,31,11,11,12,*,27,20,20,20,21,20,22,21,8,4029139
0.111111,0.111111,0.285714,0.111111,24,25,25,25,26,26,26,27,27,*,24,24,27,4,4,5,5,6,6,4049993
0.777778,0.777778,0.8,0.777778,6,6,7,7,7,27,27,28,8,*,6,6,7,7,7,27,8,8,8,4122485
0.777778,0.777778,0.833333,0.444444,7,7,27,8,8,8,9,31,11,*,7,7,7,27,8,8,8,9,31,4257337
1,1,1,1,7,7,27,8,8,8,9,31,11,*,7,7,27,8,8,8,9,31,11,4273727
1,1,1,1,7,7,27,8,8,8,9,31,11,*,7,7,27,8,8,8,9,31,11,4295300
1,1,1,1,7,27,8,8,8,9,31,11,11,*,7,27,8,8,8,9,31,11,11,4300694
1,1,1,1,7,7,27,8,8,8,9,31,11,*,7,7,27,8,8,8,9,31,11,4336128
0.666667,0.666667,0.4,0.555556,24,24,24,3,24,24,5,5,28,*,24,24,24,24,24,5,5,24,25,4337049
1,1,1,1,7,27,8,8,8,9,31,11,11,*,7,27,8,8,8,9,31,11,11,4375473
1,1,1,1,7,7,27,8,8,8,9,31,11,*,7,7,27,8,8,8,9,31,11,4480821
1,1,1,1,7,7,27,8,8,8,9,31,11,*,7,7,27,8,8,8,9,31,11,4482675
0.777778,0.777778,0.833333,0.444444,7,7,27,8,8,8,9,31,11,*,7,7,7,27,8,8,8,9,31,4495310
1,1,1,1,7,27,8,8,8,9,31,11,11,*,7,27,8,8,8,9,31,11,11,4499247
0.666667,0.666667,0.666667,0.333333,5,5,6,24,6,6,7,7,20,*,24,5,5,6,28,6,6,7,7,4506906
0.444444,0.444444,0.5,0.222222,24,24,5,5,6,28,6,6,7,*,24,11,24,24,5,5,6,24,6,4557918
1,1,1,1,7,27,8,8,8,9,31,11,11,*,7,27,8,8,8,9,31,11,11,4583906
1,1,1,1,7,7,27,8,8,8,9,31,11,*,7,7,27,8,8,8,9,31,11,4589612
0.333333,0.333333,0.4,0.333333,5,5,28,24,24,24,3,3,24,*,24,24,24,10,24,24,5,5,24,4607510
1,1,1,1,7,7,27,8,8,8,9,31,11,*,7,7,27,8,8,8,9,31,11,4640117
0.555556,0.555556,0.333333,0.555556,7,7,27,8,8,20,20,21,22,*,7,7,27,8,8,8,9,31,11,4660602
1,1,1,1,7,7,27,8,8,8,9,31,11,*,7,7,27,8,8,8,9,31,11,4733021
1,1,1,1,28,6,6,7,7,7,27,8,8,*,28,6,6,7,7,7,27,8,8,4747525
1,1,1,1,7,7,27,8,8,8,9,31,11,*,7,7,27,8,8,8,9,31,11,4762141
1,1,1,1,7,7,27,8,8,8,9,31,11,*,7,7,27,8,8,8,9,31,11,4863262
1,1,1,1,7,7,7,27,8,8,8,9,31,*,7,7,7,27,8,8,8,9,31,4884917
0.555556,0.555556,0.75,0.444444,24,24,24,5,5,6,24,6,6,*,24,24,24,24,25,5,5,6,24,4927964
0.111111,0.111111,0.25,0.111111,24,20,20,22,21,24,25,25,26,*,24,24,24,24,25,5,5,6,24,4949276
0.666667,0.666667,0.833333,0.333333,7,7,6,27,8,8,8,9,31,*,6,7,7,7,27,8,8,8,9,4963153
0,0,0,0,6,6,3,6,7,7,7,27,8,*,24,24,24,24,24,24,25,5,5,5038333
0.222222,0.222222,0.285714,0.222222,6,7,7,7,27,8,8,8,9,*,6,7,20,20,20,20,21,21,21,5073249
0.777778,0.777778,0.8,0.777778,24,24,24,24,25,5,5,11,6,*,24,24,24,24,25,5,5,6,24,5186287
0.555556,0.555556,0.6,0.555556,24,10,24,24,25,6,24,6,6,*,24,24,24,24,25,5,5,6,24,5248926
1,1,1,1,7,7,7,27,8,8,8,9,31,*,7,7,7,27,8,8,8,9,31,5255269
1,1,1,1,7,7,7,27,8,8,8,9,31,*,7,7,7,27,8,8,8,9,31,5273430
0.666667,0.666667,0.6,0.666667,24,24,24,24,32,25,6,6,24,*,24,24,24,24,25,5,5,6,24,5288872
0.888889,0.888889,0.8,0.888889,7,7,7,27,8,8,8,9,9,*,7,7,7,27,8,8,8,9,31,5342369
