0.666667,0.666667,1,0.666667,5,5,6,*,5,6,6,2802160
0.333333,0.333333,0.333333,0.333333,6,6,7,*,5,6,6,2830183
0,0,0,0,4,5,5,*,6,6,7,2838476
1,1,1,1,5,5,6,*,5,5,6,2840219
0.333333,0.333333,1,0.333333,5,5,4,*,4,5,5,2847199
0.333333,0.333333,0.333333,0.333333,6,6,7,*,5,6,6,2857143
0,0,0.5,0,4,24,3,*,3,4,5,2874224
0.666667,0.666667,0.5,0.666667,4,4,5,*,4,4,4,2875758
0,0,0,0,3,18,20,*,5,6,24,2891719
0,0,0.25,0,4,3,20,*,20,21,21,2917203
1,1,1,1,4,5,5,*,4,5,5,2952306
0.333333,0.333333,0.666667,0.333333,5,5,6,*,5,6,24,2976919
0,0,0,0,5,3,18,*,6,6,6,2998479
0.333333,0.333333,0.666667,0.333333,5,5,6,*,5,6,24,3027880
0.666667,0.666667,0.666667,0.666667,4,5,6,*,4,5,5,3107031
0,0,0,0,5,6,24,*,3,4,18,3116141
0.333333,0.333333,0.666667,0.333333,4,5,6,*,4,4,5,3132548
0.333333,0.333333,0.333333,0.333333,21,21,3,*,21,4,4,3179947
0,0,1,0,6,24,24,*,24,6,6,3238727
0.333333,0.333333,0.25,0.333333,5,8,6,*,5,24,24,3257848
0,0,0,0,3,18,20,*,5,6,6,3258671
0,0,0.25,0,20,14,4,*,4,5,5,3282104
1,1,1,1,4,4,5,*,4,4,5,3306586
0,0,0,0,24,24,24,*,6,6,6,3307452
0.666667,0.666667,0.5,0.666667,4,4,3,*,4,4,4,3311607
0.666667,0.666667,0.5,0.666667,4,4,4,*,4,4,5,3387527
0.333333,0.333333,1,0.333333,18,3,4,*,4,3,18,3396308
0.666667,0.666667,0.5,0.666667,4,4,4,*,4,4,5,3423564
0,0,0.333333,0,5,24,24,*,24,6,6,3449448
1,1,1,1,5,6,6,*,5,6,6,3452185
1,1,1,1,4,4,5,*,4,4,5,3456494
0,0,0,0,18,20,4,*,5,6,6,3464965
0.666667,0.666667,0.5,0.666667,4,4,3,*,4,4,4,3479896
0.666667,0.666667,0.5,0.666667,5,4,4,*,4,4,4,3499242
0,0,0,0,18,20,14,*,5,5,6,3529170
0.333333,0.333333,0.333333,0.333333,6,6,7,*,24,6,6,3611865
0.333333,0.333333,0.333333,0.333333,4,4,5,*,20,4,4,3644413
0,0,0.25,0,36,5,5,*,5,24,6,3648178
0.333333,0.333333,0.333333,0.333333,3,22,20,*,3,3,3,3719678
0.666667,0.666667,0.5,0.666667,3,3,4,*,3,3,3,3727018
0.333333,0.333333,0.333333,0.333333,20,20,20,*,20,4,5,3728500
0.666667,0.666667,0.5,0.666667,4,4,5,*,4,4,4,3754056
0,0,0.5,0,3,4,5,*,4,3,6,3833062
0.666667,0.666667,0.666667,0.666667,20,3,4,*,20,4,4,3851157
0.666667,0.666667,0.333333,0.666667,17,4,4,*,3,4,4,3854674
0.333333,0.333333,0.333333,0.333333,4,4,5,*,20,4,4,3905172
0.666667,0.666667,0.666667,0.666667,5,24,24,*,5,24,6,3906593
0.333333,0.333333,0.666667,0.333333,22,20,4,*,20,4,4,3956795
0,0,0,0,22,20,4,*,5,5,6,3989495
0,0,0,0,17,3,22,*,6,6,7,4054927
1,1,1,1,6,6,7,*,6,6,7,4088369
0.333333,0.333333,0.333333,0.333333,16,20,16,*,16,16,19,4089231
1,1,1,1,20,4,4,*,20,4,4,4126409
0.666667,0.666667,0.333333,0.666667,20,4,4,*,22,4,4,4195381
1,1,1,1,5,28,6,*,5,28,6,4273727
0.333333,0.333333,0.5,0.333333,3,3,4,*,4,4,4,4317771
0.666667,0.666667,0.5,0.666667,5,28,6,*,5,24,6,4320126
0.333333,0.333333,0.25,0.333333,28,6,6,*,5,24,6,4320987
0.666667,0.666667,0.5,0.666667,5,28,6,*,5,24,6,4321601
0.666667,0.666667,0.5,0.666667,5,28,6,*,5,24,6,4336913
0.333333,0.333333,0.333333,0.333333,24,24,24,*,5,24,6,4506906
0.333333,0.333333,0.25,0.333333,28,6,6,*,5,24,6,4571002
0,0,0,0,4,4,4,*,5,28,6,4599434
0.333333,0.333333,0.333333,0.333333,24,4,5,*,4,4,4,4602366
0.666667,0.666667,0.5,0.666667,5,28,6,*,5,24,6,4606518
0,0,0.25,0,4,4,5,*,5,28,6,4607510
0.666667,0.666667,0.5,0.666667,3,4,4,*,4,4,4,4611018
0.666667,0.666667,0.5,0.666667,5,28,6,*,5,24,6,4621666
0.666667,0.666667,0.5,0.666667,5,28,6,*,5,24,6,4648847
0.333333,0.333333,0.25,0.333333,28,6,6,*,5,24,6,4651550
0.333333,0.333333,0.25,0.333333,28,6,6,*,5,24,6,4692256
0,0,0.2,0,4,5,28,*,5,24,6,4769679
0,0,0,0,18,3,3,*,4,4,4,4770968
0,0,0.2,0,4,5,28,*,5,24,6,4785864
0.333333,0.333333,0.5,0.333333,6,27,8,*,6,7,27,4811268
0.666667,0.666667,0.666667,0.666667,6,4,7,*,6,6,7,4821209
0.333333,0.333333,0.5,0.333333,4,3,3,*,4,4,4,4873044
0.333333,0.333333,0.5,0,4,5,24,*,5,24,6,4913143
0.333333,0.333333,0.5,0,4,5,24,*,5,24,6,4927964
0.666667,0.666667,0.666667,0.666667,5,24,24,*,5,24,6,4933123
0.333333,0.333333,0.333333,0.333333,24,24,24,*,5,24,6,4959649
0.333333,0.333333,0.5,0,4,5,24,*,5,24,6,4971943
0,0,0.25,0,4,4,5,*,5,24,6,5016502
0.333333,0.333333,0.5,0,4,5,24,*,5,24,6,5063668
0.333333,0.333333,0.5,0,4,5,24,*,5,24,6,5073249
