0.75,0.75,0.8,0.5,7,7,7,27,8,8,8,9,*,7,7,27,8,8,8,9,11,2838476
1,1,1,1,7,7,27,8,8,8,9,11,*,7,7,27,8,8,8,9,11,2839858
0,0,0.125,0,20,22,20,20,20,21,21,21,*,7,27,8,8,8,3,18,20,2847603
0.5,0.5,0.428571,0.375,6,24,24,24,24,18,20,27,*,5,6,24,24,24,24,27,4,2902671
0.75,0.75,0.6,0.75,20,5,5,6,6,7,7,7,*,4,5,6,6,6,7,7,7,2946363
0,0,0.5,0,18,4,4,4,4,5,5,6,*,4,5,6,6,6,14,4,7,2956643
0,0,0.142857,0,5,5,6,6,7,7,7,27,*,6,19,19,19,18,19,19,20,2959106
0,0,0.166667,0,21,22,22,4,4,4,4,5,*,4,4,4,14,14,14,14,15,2959723
0.75,0.75,1,0.75,6,6,7,7,7,27,8,8,*,6,6,7,7,7,7,27,8,2961386
0.125,0.125,0.166667,0.125,6,6,7,7,7,27,8,8,*,24,24,24,24,24,27,4,4,2984277
0.75,0.75,0.8,0.75,3,4,4,4,5,5,6,24,*,3,4,4,4,5,6,6,6,2992191
0.125,0.125,0.111111,0.125,24,27,4,22,20,3,20,20,*,24,24,24,24,25,5,5,6,3087387
0,0,0.125,0,3,18,20,4,5,5,5,5,*,5,24,6,6,6,7,7,7,3097714
0.125,0.125,0.272727,0.125,21,8,6,6,6,3,4,7,*,21,13,11,18,14,4,5,6,3119614
0.25,0.25,0.125,0.25,5,7,7,7,18,20,14,7,*,7,7,7,27,8,8,8,9,3132548
0.875,0.875,0.8,0.875,6,6,7,7,7,7,27,8,*,6,4,7,7,7,7,27,8,3143683
0.75,0.75,0.8,0.625,6,7,7,7,7,27,8,8,*,6,4,7,7,7,7,27,8,3167203
0.375,0.375,0.4,0.25,21,21,8,3,18,14,6,6,*,21,13,11,18,14,4,5,6,3169120
0.875,0.875,0.8,0.875,6,6,7,7,7,7,27,8,*,6,4,7,7,7,7,27,8,3188265
0.5,0.5,0.4,0.375,6,6,7,7,7,7,27,8,*,5,6,6,6,7,7,7,7,3248466
0.625,0.625,0.75,0.625,7,7,7,7,8,27,8,8,*,7,7,7,27,8,8,8,9,3257848
0.5,0.5,0.428571,0.375,24,24,24,27,4,4,4,5,*,24,24,27,4,4,18,20,14,3264192
0.625,0.625,0.75,0.625,6,6,6,7,7,7,7,8,*,6,6,7,7,7,27,8,8,3301142
0.25,0.25,0.25,0.25,6,7,3,18,20,7,7,7,*,6,4,7,7,7,7,27,8,3319822
0.375,0.375,0.333333,0.25,4,5,5,24,24,24,25,25,*,5,6,24,24,3,24,24,24,3320493
0.625,0.625,0.666667,0.625,24,27,4,4,4,5,6,6,*,24,6,4,4,5,28,6,6,3326569
0.875,0.875,0.8,0.875,6,6,7,7,7,7,27,8,*,6,4,7,7,7,7,27,8,3372409
0,0,0,0,24,24,24,24,4,17,18,20,*,6,6,6,7,7,7,27,8,3376725
0.125,0.125,0.428571,0.125,14,4,5,6,6,6,7,7,*,14,24,3,24,4,5,5,24,3378302
0.75,0.75,0.8,0.5,7,7,7,27,8,8,8,9,*,7,7,27,8,8,8,9,31,3407887
0,0,0.375,0,3,18,20,7,7,7,27,8,*,7,7,27,8,8,8,9,31,3452185
0.5,0.5,0.714286,0.5,24,24,3,3,27,4,22,20,*,24,24,27,4,4,5,22,20,3598533
