1,1,1,1,6,6,7,7,*,6,6,7,7,2830183
1,1,1,1,6,6,7,7,*,6,6,7,7,2847603
0.25,0.25,0.333333,0.25,6,24,24,24,*,6,6,19,19,2854000
0.5,0.5,0.666667,0.5,4,4,4,5,*,4,4,5,6,3265011
0,0,0,0,4,3,18,20,*,5,6,24,24,3301142
0.5,0.5,0.666667,0.5,4,4,5,6,*,4,4,4,5,3330161
1,1,1,1,4,4,5,6,*,4,4,5,6,3415876
1,1,1,1,4,4,4,5,*,4,4,4,5,3423564
0.5,0.5,0.25,0.5,4,4,3,18,*,4,4,4,5,3479896
0,0,0.2,0,4,5,5,24,*,5,8,6,6,3494154
0.25,0.25,0.25,0.25,5,6,6,7,*,5,24,24,24,3566460
0.5,0.5,0.333333,0.5,5,5,24,24,*,5,5,6,6,3604677
0.75,0.75,0.5,0.75,5,6,6,4,*,5,6,6,3,3704488
0,0,0.25,0,4,4,5,5,*,22,20,4,4,3707973
0.5,0.5,0.333333,0.5,18,3,3,3,*,3,3,3,4,3741124
0.5,0.5,1,0.5,3,4,4,4,*,3,4,3,3,3759564
0,0,0.2,0,20,22,4,4,*,4,5,5,6,3852444
0.75,0.75,0.666667,0.75,4,4,5,5,*,4,4,3,5,3905172
0,0,0.142857,0,24,36,17,3,*,18,3,4,5,3912651
0.5,0.5,0.5,0.5,22,20,4,4,*,22,4,4,5,3930617
0,0,0,0,24,24,24,24,*,6,6,7,7,3998742
0.75,0.75,0.5,0.75,20,4,4,5,*,22,4,4,5,4018622
0.75,0.75,0.5,0.75,20,4,4,5,*,22,4,4,5,4022302
0.25,0.25,0.25,0.25,5,24,4,24,*,5,5,6,6,4049993
0.5,0.5,0.666667,0.5,4,4,5,5,*,4,3,4,5,4053702
0.25,0.25,0.5,0,20,4,4,5,*,4,5,5,6,4108657
0.75,0.75,0.5,0.75,5,28,6,6,*,5,24,6,6,4242727
0.5,0.5,0.25,0.5,28,6,6,7,*,24,6,6,6,4300694
0.75,0.75,1,0.75,6,6,7,7,*,6,6,6,7,4493747
0,0,0,0,24,24,24,24,*,6,6,6,7,4506906
1,1,1,1,4,4,4,5,*,4,4,4,5,4565008
1,1,1,1,4,4,4,5,*,4,4,4,5,4567840
1,1,1,1,5,28,6,6,*,5,28,6,6,4569458
1,1,1,1,28,6,6,7,*,28,6,6,7,4571002
0.25,0.25,0.5,0.25,5,28,24,24,*,5,24,6,6,4617358
0.5,0.5,0.25,0.5,28,6,6,7,*,24,6,6,6,4691712
0.75,0.75,0.5,0.75,5,24,6,6,*,5,28,6,6,4722030
1,1,1,1,4,5,28,6,*,4,5,28,6,4769679
1,1,1,1,4,5,28,6,*,4,5,28,6,4784091
0.5,0.5,0.333333,0.5,4,5,28,6,*,3,5,24,6,4870609
1,1,1,1,4,3,3,4,*,4,3,3,4,4902429
0.75,0.75,0.6,0.75,4,5,24,6,*,4,5,28,6,4913143
